Sentences,Sentence Sentiment,Aspects,Aspects Sentiment
"عماكور ضحكة غابت من زمان انا كمشاهد عادي لا احمل شيئا من اداب النقد الفني انما انظر للعمل من خلال تاثيره علي في الدرجة الاولى , لم اجد عملا فنيا خليجيا كوميدي التصنيف ادخل السرور علي بقدر هذا العمل وانا مستغرب للاراء التي وجدتها في بعض مواقع التقييم الفني, العمل جميل بسيناريو رائع وتمثيل عفوي تصاحبه اجواء محببة الى النفس الخليجية , بعض شخوص الاحداث يبدو عليهم عدم اجادة التمثيل الكوميدي وهم ثلاث شخوص لو كان المخرج قد ابدلهم لاضيقت نقطة الى العمل , كم نحن محتاجين الى اعمال فنية تدخل الفرحة الى قلوبنا , وكم عمل فني متكامل غاب عنه ارتباط المشاهد , للاسف الشديد غالب الاعمال الخليجي , للاسف غالب الاعمال الخليجية الان باااااااااااااهظة التكاليف قصور واثاث تنفر المشاهد العادي مع تمثيل جدي درامي وقصص تسيء الى العائلة الخليجية قصص مليئة بالحزن الدرامي المبالغ به المرتبط بمشاكل اجتماعية واخلاقية , فمن وجهة نظري اللافنية في العمل ان اقبال المشاهد وتفاعله مع المسلسل اهم من اعتماد اسس فنية قد تقيد الممثل في التفاعل اكثر مع المشاهد , فالمشاهد هنا هو الاول والاخير في الحكم على نجاح المسلسل",1,"سيناريو،تمثيل،قصص","1,1,-1"
طعم مختلف لوادي الملوك عتبر مسلسل وادي الملوك حالة فنية مختلفة له شكل خاص واسلوب مميز وذو طعم ومذاق مختلف فالبرغم من ان الشاعر الكبير عبد الرحمن الابنودي قدم اعمالا كثيرة يغلب عليها الطابع الصعيدي مثل فيلم (الطوق والاسورة) وغيرها من الاعمال السينمائية إلا أن هذا المسلسل يعتبر أول عمل درامي تلفزيوني له مقتبص عن قصة (يوم غائم في البر الغربي) للروائي محمد المنسي قنديل الذي قدم عملا فنيا هادفا ناقش قضية هامة مثل قضية زنا المحارم فحاول عبد الرحمن الابنودي بابداعه ان يكتب حوار لعمل فني عالي القيمة ..,1,"شكل،اسلوب،عمل فني","1,1,1"
"مسلسل الملوك هو مسلسل الملوك كل واحد اشترك فى العمل ده يستحق لقب ملك فى مجاله فاذا بدات بالقصة و بالرغم من انى لا اعرف المؤلف من قبل لكن قصة بعنوان يوم غائم فى البر الغربى تبدو من اسمها رائعة و بعد اتمام المسلسل يمكن القول انها قصة ملحمية مؤثرة اثراها الحوار للابنودى و هو الغنى عن التعريف حوار رائع الاتقان و بناء محكم لرجل من الصعيد ربما كان خطأه الوحيد هو حبه لغجرية شريرة كانها بذرة شر قضت على العائلة العريقة التمثيل ممتاز و لو حاولت اختيار الافضل لتحيرت فسمية الخشاب بالنسبة لى قدمت افضل ادوارها الصعيدية القوية عقلا و عزيمة و لكن بقلب يفيض حنانا المراة التى تتصدى لدياب ""مجدى كامل"" ا",1,"قصة،حوار","1,1"
"عنتر شايل سيفه بين البساطة والنجاح التجاري كلما شاهدت فيلما للنجم الزعيم عادل إمام يترسخ اعتقاد بداخلي بأنه نجم موهوب لم يصنع نجوميته بالفهلوة والصدفة وإنما حقق ذلك من خلال مجهود جاد وطريق كفاح طويل يشهد له،ورغم انني لا اميل إلى مشاهدة اﻷفلام الكوميدية إلا أنه كان سببا في أن ظللت جالسة أمام فيلم (عنتر شايل سيفه) لأكثر من ساعة ونصف هي مدة عرض الفيلم أشاهده بتركيز كبير فكنت أمام سيناريو بسيط لا يحمل اي تعقيدات ولا حبكة درامية لخارج ويسبح في مياه النافورة ليجمع المال وبالرغم من أن كل اللقطات والمشاهد ليست جديدة ع افلام عادل امام واجدها مستهلكة كما انه تم حشو الفيلم بها إلا أن رؤوف حلمي استطاع ان ينجح في إطالة احداث الفيلم دون الشعور باي ملل او سأمة وهذا ما يحسب له",0,سيناريو,-1
"أشياء ضايقتني في (لعنة الطين) عند متابعة مسلسل (لعنة الطين) ينتابك شعور بحب الطبيعة والرغبة بقضاء وقت الإجازة في قرية من قرى اللاذقية،وفق المخرج بإبراز الطبيعة،إلا أن مشكاتي هي في ثلاث نقاط: 1- شخصية (مكسيم خليل) وردود أفعالة الباردة في أكثر من مره،مثلا في عندما قامت حبيبته باتهام المعلم بالتحرش بها،لا أذكر بانه قام برد فعل،او عندما حاول اغتصابها البياع،واخيرا وهو ما اثار حنقي فعلا،عندما سافرت اليه في الشام دون علم اهلها",0,ردود أفعالة,1
عندما يلتقي الانحلال والجهل سويا عندما شاهدت فيلم (كباريه) للسيناريست المميز احمد عبدالله ﻷول مرة خرجت من دار العرض وانا لا اتفهوه بأي كلمة كأنني من كثرة الابداع وبارعة طاقم العمل اجمع قد اكلت لساني...فلم أعرف من قبل ما يحدث داخل تلك الاماكن وانتابني احساس بتصديق كل ما جرى من مشاهد بأحداث الفيلم دون أن احاول التأكد من حقيقتها وواقعيتها من عدمه وتصورت ان هذا ما سيحدث عندما اشاهد فيلم (شارع الهرم) وأن اسمه يدل ع ما يحدث داخل ذلك الشارع العريق والمعروف عنه بكثرة الملاهي الليلية والبارات وما شابه ذلك ولكني لم اجد شارع الهرم وكأن المؤلف تاه في شارع تاني ,-1,الشارع,1
"فيلم لن ينسى فيلم هارى بوتر و مقدسات الموت علامة من علمات السينما الامريكية والعالمية ع حد سوا كفى ان انتظره الملايين من الناس فى جميع انحاء العالم ووقفوا امام مراكز بيع التذاكر بالولايات المتحده ""البلد المنتجه"" صفوفا حيث اوقفوا طرق من طول الصفوف و الطوابير كما حدث سنة نزول الجزء السابع والاخير من سلسله كتب هارى بوتر للمؤلفه البريطانيه جى كى رولينغ حيث ارسلوا مع الكتب حرسا ليحرسوها من السرقه فالعالم كله يعرف ""هارى بوتر"" ليست فقط روايه بلى وهى اشهر روايه فى العالم بل هى ايضا مجموعة افلام من شركه وارنر برودز المتألقه دائما غير ان افلام وارنر بروس قليلا ما تغادر اولوية البوكس اوفيس كل عام فكل منتج امريكى يفكر ان يصدر فيلم يجب ان يعمل حسابا لأفلام وارنر برودز التى ستعرض فى وقت عرض فيلمه ان الفيلم رائع وحقق ايرادات كثيره حيث هو الثالث على العالم -اسفل تايتنك- لكن ما لا يعجبنى فيه سرعة الاحداث واختلاف بعض الاحداث عن الاحداث الموجوده فى الروايه حيث مذكور بالروايه ان هارى سينتصر على فولدمورت امام جميع طلاب هوجورتس بينما فى الفيلم سينتصر عليه بعيدا عن اعين الجميع",1,"الفيلم،ايرادات","1,1"
"انت البطل الحقيقي للعمل فكرة بسيطة .....تجربة فريدة لا توصف المستقبل بالتشاؤم ولا بالتفاؤل وإنما تترك الحرية لكل من يسمع الفيلم في تصور نهاية العالم..إنها .نواة رطبة لظهور فيلم اذاعي يجسد المعارك العقائدية داخلنا كلمات قد لا تصف الانبهار الذي عشت داخله اثناء سماعي لذلك الفيلم الرائع …. ....فيلم (أخر أيام اﻷرض) للمخرج خالد المهدي......فبعيدا عن أحداث الفيلم الصوتي التي تدور من خلال 40 يوما من عمر البشرية كلها،و ما يحدث فيها من أمور حتمية كظهور المسيح الدجال وقصة الشاب فارس افضل شهداء الارض والامام المهدي إلى نزول سيدنا عيسى عليه السلام وقتله للمسيح الدجال تظهر العديد من الشخصيات التي يعرضها الفيلم بأبعاد إنسانية وعرض فكرة الحق والباطل بطريقة مصيرية",1,"فكرة،تجربة،الفيلم","1,1,1"
حس مصري اصيل امتاز فريد شوقي في العديد من أفلامه بتقديم حس مصري واسلوب متميز في عرض العديد من الافكار التي تناسب المجتمع المصري فبرع فريد في وضع سيناريو محبك دراميا وفنيا ليقنع به كل الجماهير والنقاد بأنها قد تكون قصص واقعية ونرى هذا بشكل كبير في فيلم (رصيف نمرة 5) للمخرج العبقري نيازي مصطفى الذي نجح هو الاخر في تصوير بعض الاماكن الحقيقة وخاصة التي دارت فيها العديد من المطاردات بالميناء ليضفي روح الواقعية كما انه نجح في تقديم مشاهد متتالية دون إطالة او حوارات ليست لها اهمية ليخدم طبيعة الفيلم والاحداث الحركية والبوليسية التي رغب فريد شوقي في إخراجها للجمهور من خلال قصته فمثلا مشهد المطاردة بين فريد شوقي والمعلم بيومي(زكي رستم) داخل سيارة النقل نجح نيازي في استخدام دوبلير (كومبارس بطريقة محكمة دون اي ترهل او اسلوب ملفت للنظر بان هناك كومبارس بدلا من النجمين ...وبعيدا عن الحركات البوليسية التي ادخلها فريد شوقي ونجح نيازي في تصويرها تأتي بعض المظاهر الشعبية التي اشتهر بها فريد بافلامه حيث الحارة الشعبية وشوارعها ومحاولة اضفاء روح التعاون ليقدم بيئة مصرية محلية بحتة,1,"حس مصري،سيناريو","1,1"
أمن دولت وركن العائلات لست من المعجبين بالمطرب حمادة هلال ولا من مشاهدي الافلام العربية بصفة دائما ولكن السبب الذي جذبني لمتابعة ومشاهدة فيلم (أمن دولت) للمخرج أكرم فريد ينحصر في اسم الفيلم الذي ظن الجميع أنه يناقش قضية جهاز أمن الدولة في مصر بطريقة كوميدية ساخرة ....وبالعزم على مشاهدة الفيلم اكتشفت توليفة ليست بسيئة ع المطرب حماده هلال الذي نجح بشكل مقبول في أداء بعض الادوار التي قدمها قبل ذلك بداية من أول دور له أمام كاميرات الفيديو بمسلسل بدارة مع الفنانة معالي زايد ومحاولة اداء شخصية ابن البلد ومرورا بفيلميه عيال حبيبة والجزء الثاني العيال كبرت ثم فيلمه حلم العمر الذي خرج به بشكل جديد لاقى استحسان الجمهور ة الاطفال,0,شكل,1
"انا حالة ؟؟؟!!!! هى المرة الأولى التى أكتب فيها عن فيلم لأحمد حلمى و لكنها بالتأكيد هى ليست المرة الأولى التى أشاهده فيها و لكن ألق و ابداع أحمد حلمى بلغ الأفاق و شحن قلمى للكتابة عنه . بعد 12 سنة يعود التلميذ لأستاذه و مكتشفه فشريف عرفة قدم أحمد حلمى للمرة الأولى على شاشة السينما فى فيلم "" عبود على الحدود "" سنة 1999 . شريف عرفة بلغ درجة من الإبداع تشعر معها أنه صار متمكن لدرجة انه لم يبذل مجهود فى الفيلم،أحمد حلمى يتقدم و ينجح و يكتسح الآخرين لأنه ممثل فقط ممثل يسلم نفسه و كل كيانه للمخرج فيستخرج منه جل طاقاته و كل ابداعه . أيمن بهجت قمر يتقدم بسرعة مذهلة فى كتابة النص السينمائى فلقد كان على عكس باقى الكتاب حواره أقوى من سيناريوه و لكن الآن صار السيناريو متماسك و محبوك و الحوار ازداد رقيا ً و عمقا ً و خاليا ً من الفجاجة .",1,"سرعة،السيناريو","1,1"
"لن اعيش في جلباب أبي من أصعب الأفلام في رأيي أفلام البطل الواحد واللوكيشن الواحد لأنها اما تكون ممله وغير مؤثره وإما تكون عظيمه،الفيلم ده من النوع العظيم . توم هاردي الي كنت مبقتنعش بأداءه كممثل وبشوفه مجرد مؤدي له جسم رياضي ينفع في أفلام الأكشن فاجئني في الفيلم ده وفيلم تاني اسمه ""برونسون"" بأنه ممثل شاطر أوي وفاهم بيعمل ايه ستيفن نايت مؤلف  بيخوض تجربة الاخراج بجانب الكتابه هنا وبيقوم بالمهمه بنجاح مع الاعتراف بسهولتها بالنظر لأن أحداث الفيلم كلها في عربيه ايفان لوك البطل يبدأ رحلته الغريبه عشان يشهد ميلاد ابنه من ست مش مراته أقام معاها علاقه لمرة واحده وعلى عكس أبوه بيحاول ايفان انه يواجه مشاكله مش يهرب منها حتى لو كانت النتيجه سيئه من خلال مكالمات ايفان مع زوجته وأولاده ومع مسئول الشركه وأم ابنه ومساعده الشخصي بنفهم تعقيدات الأحداث لغاية ما تتعقد الحبكه ويبقا مفيش مجال للتراجع من المشاهد القويه أوي أو نقول من أقوى المكالمات لما ابن ايفان يتصل بيه ويحكيله عن جون في ماتش كورة قدر يحط جون عبقري بعد ما اتجاوز كل المدافعين ""العوائق"" وحط الجون ""القرار"" المغزى من المكالمه دي كان حلو أوي وتعبيرات وش توم هاردي كانت معبره جدا فيلم حلو غير مكلف يستحق يتشاف والمهم انه مش ممل لأن دي أكبر مشكله ممكن يواجها أي فيلم.",1,"النوع،تعبيرات","1,1"
تفاحة آدم التي لم يأكلها البداية كانت ساخنة جدا فهناك شخص يجيد خداع الجميع ويعرف من أين يتسلل لنقاط ضعفهم.. وهو طبقا لعلم الجريمة مجرم.. لكنه لا يسيل الدماء وإن كان يؤدي إلى غليانها في العروق..!! وقد رسم الكاتب محمد الحناوي شخصياته بدقة يُحسد عليها.. لكنه من وجهة نظري أخفق في مناطق قليلة لا تؤثر على المجمل العام للمسلسل لكنها تُبقي لنا تساؤل مشروع وهو كيف ينفذ آدم مفاجأته.. فمثلا قبيل انتهاء أحداث المسلسل دخل آدم صومعة الإخوان فجأة واختفى فجأة من بين يد حراسة مشددة للإخوان وشرطة هاجمت المكان ولم يفسر لنا كيف حدث هذا..؟؟ لكن ما أوضحه السيناريو أن آدم شخص شديد الذكاء يعرف كيف يَعْبُر للآخرين من ثغرات لم يهتموا بها بينما لا يترك لغيره ثغرات يصلون هم بها له.. كما أنه شخصية تجيد التلون والتخفي وهو ما برع في أداءه الفنان خالد الصاوي.. وكأنه لم يقدم دورا واحدا في هذا العمل ولكنها عدة أدوار في دور واحد.. وكان في كل حالة معبر عنها بدقة متناهية.. فهو حين يكون الشيخ رضوان فهو التقي الورع وحين يكون خواجة فهو خواجة ألعوبان وحين يكون صعيدي فهو صعيدي غلبان لكن به مكر واضح,1,"شخص،صعيدي،مكر","1,-1,1"
"عودة اللمبى , أحدث أفلام لا تشرب الدواء الذى أرسلت ابنتك فى طلبه , الفيلم فيه سما قاتل , اقصد الدواء ترددت تلك الجملة الشهيرة التى جاءت على لسان حكمدار العاصمة فى فيلم الرائع عماد حمدى طيلة مشاهدتى لفيلم "" كلمنى شكرا "" , خاصة بعد تصريحات كلا من مؤلف ومنتج الفيلم التى اصابتنى بالحيرة حيث صرح السيناريست ""سيد فؤاد"" قائلا :ان المهمشين ليسوا مهمشى المبانى والمساكن بل هم البسطاء الذين عمد النظام ورجاله من اثرياء واشباه مثقفين على تهميشه , مستفيدين من تطور تكنولوجيا الاعلام والاتصالات ,",-1,"سم،الجملة","-1,1"
كثير من الاسقاطات .. كثير من التوفيق خلال السبع سنوات الاخيره توقفت و بشكل كامل عن مشاهدة الافلام العربية و لكن مع خالد يوسف ذي الرؤيه الحساسه اعتقد ان قراري كان خاطئا .. الفيلم جيد جدا بكل المقاييس .. شحاته طيب جدا الي حد البله وهي من النقاط التي ساعقب عليها. الاخراج :- لا ادعي اني ادري الكثير عنه و لكني كمشاهد رأيت ان الاخراج كان موفقا الي حد كبير و دعني اضم عمل ال في الفيلم برغم قلة استخدامه الا انه كان موفقا ايضا.,1,"الفيلم،شحاته","1,1"
"نقاد: ""كلمني شكرا"" دعاية فجة لنجيب ساويرس في غياب الرقابة انحاز للحكومة ورجال الأعمال على حساب الفقراء سلامة عبد الحميد: القاهرة عاب نقاد مصريون على المخرج خالد يوسف تهميشه للعديد من القضايا التي ضمها فيلمه الجديد ""كلمني شكرا"" معتبرين أنه لم يوفق في تقديم فيلم متماسك دراميا بينما زادت جرعة الإعتماد على الملابس العارية والايحاءات الجنسية والألفاظ النابية في ظل غياب التدخل الرقابي. وبينما يعد ""كلمني شكرا"" الذي يبدأ عرضه تجاريا اليوم الأربعاء أقل أفلام يوسف فيما يخص الأزمات مع جهاز الرقابة المصري الذي أجاز الفيلم دون ملاحظات تذكر إلا أن النقاد والإعلاميين الذين شاهدوه في العرض الأول أمس الثلاثاء اعتبروه أضعف أفلام تلميذ يوسف شاهين فنيا وأكثرها جرأة وتحررا.",-1,"دعاية،فيلم","-1,1"
مضاد للإكتئاب!..هو الفيلم المضاد لـ(حين ميسرة)!! :) مبدائيا دعنا نتفق على ان تامر حسنى هو انسان مالوش لازمة فى اى ازمة فى حياتنا..و اصغر بكثير جدا من عمرو دياب..و عمرو دياب اصلا اصغر جدا من عبد الحليم حافظ.. و هو رد سجون..و غير متعلم..لم يكمل تعليمه الجامعى (تجارة المنصورة)..و مزور و مزيف (شهادة المعاملة العسكرية و شهادة التخرج)..و صاحب الفاظ سخيفة و سمجة جدا فى اغانيه.. المهم.. الفيلم بقى.,-1,الفاظ,-1
"""صفقة"" بين عتاولة التمثيل نحن أمام أحد الأفلام الجيدة لإدارة الإنتاج المتميز بالقنوات المتخصصة ليس بالنسبة للسيناريو أو الإخراج فقط،وإنما التصوير «عمر طه» والأداء لاثنين من الممثلين،الأول من العتاولة هو فايق عزب في دور السجان الطيب،والثاني من ممثلي الجيل السابق وإن كان ظهوره قليلا وهو هشام المليجي في دور السجين.. لا يخبرنا السيناريو عن نوع قضيته ولكننا ندرك من التفاصيل أنها قضية رأي،وأنه معتقل سياسي،وأن وروده إلي السجن متكرر،فهو يخرج ليدخل ومن هنا أصبح السجن أليفا،",1,"الأفلام،السجان","1,1"
محجمد شبل العبقري محم دشبل من المخرجين القلائل اللي عملوا فالام بس سابوا بصمة واضحة جدا انياب اول افلامة هو اول فيلم تجريبي مصري استخدم اسلوب فانتازيو غريب جدا علي المصرين و كمان حول شخصية داركيولا لشخصية مصرية و عمل فيلم غنائي !!!! العبقرية تكمن كمان في اختيار الممثلين و خصوصا دور عدوية اللي هو دراكيولا و الاغاني كلمات الراحل عصام عبدالله اللي بسطتتها متنهية و معانيها اكبر بكتير بالحان مودي و حسين الامام و ازاي مخرج بحجم حسن الامام مثل و غني في الفيلم ده !!!! ,1,"محجمد شبل،بصمة،معاني","1,1,1"
"لا تسلية ولا فكرة يندفع المشاهد لمتابعة فيلم ما بحثا عن تسلية ما،أو فكرة ما،أما هنا،فلا فكرة ولا تسلية،مجرد أداء أبله لمجموعة شبان بينهم وبين التمثيل ما بين الأرض وزحل.. لم يجذبني شيء في الفيلم أبدا. هذا على مستوى الأداء التسطيحي الأبله. أما القصة،فالبطالة موضوع تناولته السينما المصرية كثيرا،ولا غضاضة عندي أن يتم تناوله أيضا وأيضا،ولكن بزاوية اخرى وأسلوب جديد،أما هذا الأسلوب الممجوج،فقد عفا عليه الزمن. عموما،هذه التجربة تدفعني أكثر وأكثر بعيدا عن خوض غمار مشاهدة سينما الجيل ما بعد الجديد الذين رأيناهم في هذا العمل الذي يسمى فيلما تجاوزا.",-1,"أداء،أسلوب","1,1"
"حالة سينمائية متميزة..الفيلم كويس بجد!..بس ""محشى"" مبالغات! حسن و مرقص يحسب لعادل إمام ادراكه لمستجدات (السوق)..و تكاليف حسبانه على تيار المثقفين.. و فهمه لمسئولية الفنان و دوره فى المجتمع.. و من اجل كل الكلام ""الانشائى"" اللى (حدانا) ده..كان (فرمانه) بتمثيله فيلم يناقش قضية المواطنة..يلا..اديله! آمن عادل إمام منذ خمس سنوات تقريبا بعدم قدرته منفردا،لقيادة تيار الايرادات وحده..متزعما منفردا..و عدم جدوى كل محاولاته فى جرجرة الممثلين الموهوبين معه و (صعوده عليهم) فنيا فى الفيلم،لتزعمه الايرادات السينمائية السنوية.. فتعاون تارة مع نور الشريف..و تارة مع عمر الشريف..(و لكن على اساس كتابة اسمه اولا..و هى عقدة غريبة جدا عنده..اعتقد انه لو مثل مع ""روبرت دى نيرو ""سوف يتمسك بها جدا..و يصر..لاء..يلح عليها !",1,"حالة سينمائية،الفيلم،عقدة","1,1,-1"
"""اتش"" ضحك جديد و مختلف عن الجميع شكلا و موضوعا و اسلوبا!..و مهواش لمبى بالمرة!..بلاش نستسهل و ""نقولب"" كل الناس! اجمل ما فى فيلم ""H دبور"" هو ابتعاده عن شخصية اللمبى.. هل فجأتك؟ لا تفاجأ.. كلاهما..شخصية سلبية اينعم..كلاهما يتعاطى المخدرات..فعلا.. و لكن ليس كل من هو سلبى و يتعاطى المخدرات متطابق.. اتش""..ثرى..مدلل..متعالى..كسول..خامل..ظريف..متناسق الجسد....متعلم تعليما""مُكلفا"" (يعنى مش تعليم مجانى!) و فوق ذلك راقص غربى ماهر..و هو شاب ""مُتآمرك"".. اللمبى..شاب مسطول..ذو كرش ",0,شاب,-1
"المدهش وحده على ما في الفكرة من إعادة إنتاج،وهو أمر لا أستسيغه كثيرًا في سينمانا العربية،رأيت إخفاقه مرتين على الأقل في إنتاجين متأخرين،كان الأول في ""عيال حبيبة""،والثاني في ""حبيبي نائمًا""،وهما فيمان ابتعدا عن الإبداع كثيرًا،وخانا الفكرة التي ظهرت في الفيلمين الأصليين؛ رغم انطباعي هذا عن إعادة إنتاج أعمال سابقة،إلا أنني أرفع القبعة هنا لأحمد حلمي. أما متى أصفق إعجابًا،فعندما أشاهد ممثلاً رائعًا مثل صاحبنا يحمل فيلمًا وحده،دون وجود ""السنّيد""،فقد كان هو الشخصية المحورية في الفيلم،وهو القصة كلها،وكل الممثلين معه -رغم إبداعهم في أداء أدوارهم،كالأب والأم- كانوا كالديكور المكمل للمشهد،ومع ذلك،لم أشعر باستبداد البطل أو استيلائه المجحف على الكادر",1,ممثل,1
"السينما الهندية الحديثة اذا كنت عزيزي القارئ لم ترى أي فيلم هندي منذ فيلم (قمر أكبر أنطوني) فأنصحك بمشاهدة هذاالفيلم . هذا الفيلم ليس به من يقفز من أعلى الجبل ثم يستقر على ظهر الحصان ليحارب المجرمين باليد الأخرى ولكنه فيلم ملئ بالأفكار الغنية والأسئلة عن قدرة الانسان الحقيقية لتخطي الصعاب من أجل ما يؤمن به. بالرغم من أن الفيلم تدور أغلب أحداثه بالولايات المتحدة إلا أنه يعكس جمال القيم الهندية التي تقدس الأسرة والدين. فيلم القصة فيه بسيطة،مؤثرة وجميلة.",1,"أفكار،القصة","1,1"
"هذه هى السينما و إلا فلا أنا (فادى) و عادل دخلنا هذا الفيلم ... و دَخـَلنا هذا الفيلم،دخل و إمتلك وجداننا. فلقد جعلنا داوود عبد السيد نمضى واحدة من احلى لحظاتنا السينمائية بتحفته هذه. و نتيجة لطبيعة الفيلم و إمتلاءه بالرموز العديده،التى قد يختلف أكثر من شخص حولها. قررنا أن يحتوى المقال على رؤية كل منا فى الفيلم و فيما يحمله من معانى. مما يعنى إن المقال يكشف عن بعض تفاصيل الفيلم. و قد أعذر من انذر .. - اخر افلام داوود عبد السيد (مواطن و مخبر و حرامي) كان سنة 2001 و قبليه (ارض الخوف) كان سنة 1999.",1,الرموز,1
أجمل ليالي أريد أن أتحدث عن هذي الليالي و ماتحمله من فن عريق يصعب إيجاده بهذاالزمن أنا لسا فاكر لما أنعرض الحلمية و كأنوا أمس الغريب أناا كنا نشوف المسلسل على أنه مسلسل جميل وبس بس دلوقتى بعد مرور سنوات من العرض الأول و على خلفية الذكرى الأولى و المشاهدة التانية أستدركت أننا أمام مسلسل عظيم جداً هو ملحمة جو مسلسل المسلسل يتكلم عن قصص أجيال خلال خمس أجزاء و أزمان مختلفة يتكلم عن أحلام الجيل يتكلم عن الأختلاف بين الأجيال و يتكلم عن أحمال الجيل الضائع قبل و بعد النكسة يتكلم عن مصر بكل حاجة فيها سواء حلو أو مر يتكلم عن حواريها عن سياستها عن الظباط الأحرار و الثورة و النكسة يتكلم عن ثومه و حليم و عبدالوهاب ليالي الحلمية هو مصر تاريخ مجسد بمسلسل عظيم جداً وهو أفضل مسلسل عربي أكيد,1,"فن،مسلسل","1,1"
"سرقة مع سبق الاصرار... الفيلم للاسف مسروق من فيلم أمريكي شهير إسمه ""أشياء سيئة للغاية"" أو """" إنتاج سنة ١٩٩٨ مع الفارق الشاسع...""حفل زفاف"" فيلم باهت بلا طعم. التمثيل ضعيف جدا والاحداث تتوالي غير منطقية لنحصل على نهاية تجعلنا نتساءل ""هو الفيلم ده عايز اه؟"". الفيلم الأمريكي من نوع الكوميدية السوداء،لذلك فكرة القتل المتكرر في الفيلم كانت متقبلة،غير أنه أيضاً كان فيلم كوميدي ذو طابع خاص. أنا أتعجب من مشاركة محمد رياض وإياد نصار في هذا العمل. بالنسبة لايوان،أنا انصحه بلابتعاد عن التمثيل لان حضوره في الفيلم كان منعدم. والان سؤالي للقائمين على هذا العمل،هل عند سرقة الفيلم الأمريكي تصورتم أننا لا نشاهد أفلام أجنبية أو لا نتذكر ما شاهدناه منها؟ أم اننا لا نقارن الأفلام؟ و إذا قارناها هل ستكون المقارنة في صالحكم؟ نصيحة مني،إحترموا عقلية المشاهد ولو ببصلة!!! محمد الرفاعي",-1,الفيلم,-1
"واحد من أفضل أفلام السينما المصرية على مر العصور ماذا يمكنني ان اقول عن هذا الفيلم الرائع!! تمثيل على أعلى مستوى واخراج ممتاز وموسيقى جيدة, فـماذا يمكنني ان اقول عن دور يوسف وهبي في هذا الفيلم, أنا اعتقد إنه أفضل ادواره على الاطلاق, ما هذه العظمة في التمثيل, انه ليس أفضل دور ليوسف وهبي فقط ولكنه من أفضل أدوار السينما المصرية والسينما عامةً بما فيهم الأمريكية والأروبية, ميمي شكيب أيضًا قدمت دور ممتاز كعادتها, والبقية جيدين بما فيهم فاتن حمامة وفاخر فاخر وسراج منير .. أنا اعتقد إذا كانت السينما المصرية معروفة على مستوى العالم لكان اخذ هذا الفيلم أكثر من جائزة أوسكار وبالذات يوسف وهبي, من الآخر لو في أي حد ماشفش الفيلم ده يبقى فايته نص عمره",1,"الفيلم،اخراج،موسيقي","1,1,1"
"حين يصبح واقعنا شيقاً و يستحق المشاهدة يواصل أحمد حلمي مغامراته الناجحة في السنوات الأخيرة. و يقدم لنا فيلم يمس واقعنا بلا تجميل ولا مغالاة و يبدع السيناريو في تحييد الفيلم عن كل الصخب السياسي الدائر حالياً. و المتابع للفيلم يكاد يقول ""أخ"" من مرارة الواقع أحياناً و يكاد مرات أخرى يقول ""لا لا"" مما يراه نوعاً من المبالغة في سوء حظ البطل. القصة التي نحن بصددها من نوع السهل الممتنع و الذي تستطيع أن تقول أنه تجربة ابداعية فريدة و خطوة مهمة في طريق جيل واعد انتظر الناس منهم و لم يخيبوا ظنهم. و سينتظرون منهم بشغف ما يقدمونه لاحقاً. لا يوجد فيلم بدون سلبيات و هذا الفيلم ليس استثناء. وأكاد أجزم آن الفيلم انقسم الى جزئين سواد من ناحية القصة أو المستوى الفنى. النصف الثاني طبعاً هو الأفضل . أنه تجربة ابداعية فريدة و خطوة مهمة في طريق جيل واعد انتظر الناس منهم و لم يخيبوا ظنهم. و سينتظرون منهم بشغف ما يقدمونه لاحقاً والذي من الممكن أن يصنع تجربة رائعة ليس فقط للأبطال ولكن لتطوير السينما المصرية عامة و ربما ابعد من ذللك",1,"واقع،تجربة،خطوة","-1,1,1"
"“عسل إسود”..كوميداء سوداء جدا..عسل مُر،بس طعمه “حلو”! حتى الان..لا يوجد سبب مقنع لرفض الرقابة لإسم الفيلم ""مصر هى اوضتى"" و الأغرب ان هذا العنوان لا يتماشى مع الفيلم..زى ما عنوان ""آسف على الازعاج""..لا يتماشى مع موضوعه.. طيب و ""عسل اسود""؟ ماجاش على لسان اى من الابطال..مفيش اى اسقاط او تلميح عن هذا الـ""عسل الاسود""!..لكنه مفهوم..انه ""الوطن"" يعنى! طيب بالذمة بقى..مش ""مصر هى اوضتى"" تعبير اخف يا عم سيد خطاب يا رئيس الرقابة؟ يواصل احمد حلمى انطلاقته الشديدة القوة منذ فيلم ""كدة رضا"" و يستمر فى تربعه على عرش الايرادات و الجماهيرية..و هذه المرة بكوميديا سوداء آخر حاجة..""ملبكة"" شوية..لان ""السواد""..فى هذا الموسم السينمائى (بنتين من مصر..دراما جنائزية من العيار الثقيل..زنة 250 رطل! (طرناطة يعنى!).",1,"طعم،عسل","1,-1"
