Sentences,Aspects,Aspects Sentiment
بيتم المتابعة الرسائل عشان نضمنلك احسن خدمة اى استفسار تانى ممكن تبعتهولنا بالرسائل للمساعده امام ,خدمة,1
تم الرد الرسائل عمر ,,
 اهلا بك رسالتك وصلتنا بيتم الرد برجاء المراجعة نرمين ,,
 بالفعل تم المتابعة الرسائل عشان نضمنلك احسن خدمة اى استفسار تانى ممكن تبعتهولنا عشان نساعدك محمود ,خدمة,1
احنا بنتابعك الرسائل برجاء المراجعة تم الرد ساره ,,
 بيتم المتابعة الرسائل عشان نضمنلك احسن خدمة اى استفسار تانى ممكن تبعتهولنا بالرسائل للمساعده امام ,خدمة,1
عشان نقدر نراجع الخط استأذنك هنحتاج يتم توضيح الرقم والتفاصيل الرسائل رمضاناربيع جهاد ,,
 عشان نقدر نراجع الخط استأذنك هنحتاج يتم توضيح الرقم والتفاصيل الرسائل الاء ,,
 تمت المتابعة الرسايل سامي ,,
 اهلا بك رسالتك وصلتنا بيتم الرد برجاء المراجعة نورهان ,,
 بالفعل تم المتابعة الرسائل عشان نضمنلك احسن خدمة أي استفسار تانى ممكن تبعتهولنا عشان نساعدك عبد السلام ,خدمة,1
احنا بنعتذرلك جدا بالفعل تابعنا الرسايل استفسار تاني وضحلناا نساعدك تأكد اننا يهمنا رضائك نور ,,
 رسالتك وصلتنا بيتم الرد برجاء المراجعة مي ,,
 إحنا هنا لمساعدتك يهمنا الرد ممكن توضيح الرقم والتفاصيل الرسائل للمراجعه بشكل افضل سها ,,
 بالفعل تم المتابعة الرسائل عشان نضمنلك احسن خدمة اى استفسار تانى ممكن تبعتهولنا عشان نساعدك ياسمين ,خدمة,1
صباح الخير بالفعل تم المتابعة الرسائل عشان نضمنلك احسن خدمة أي استفسار تانى ممكن تبعتهولنا عشان نساعدك جهاد ,خدمة,1
لإن يهمنا تقديم أفضل خدمة بنتابعك بالرد الرسائل برجاء المراجعة ساره ,خدمة,1
الحل إن الشركة تبعت فني يحل المشكلة ويصلح الكارت المحروق مش المتابعة الرسائل انتوا بتاخدوا حقكم كامل ,"الكارت،حق","-1,-1"
تم الرد ال عبداللطيف ,,
 إحنا هنا لمساعدتك يهمنا الرد ممكن توضيح الرقم والتفاصيل الرسائل ده للمراجعه بشكل أفضل ,,
 إحنا هنا لمساعدتك يهمنا الرد ممكن توضيح الرقم والتفاصيل الرسائل ده للمراجعه بشكل أفضل ندي ,,
 بالفعل تم المتابعة الرسائل عشان نضمنلك احسن خدمة اى استفسار تانى ممكن تبعتهولنا عشان نساعدك ياسمين ,خدمة,1
بالفعل يتم الرد ردود استفزازية العملاء ,ردود,-1
لإن يهمنا تقديم أفضل خدمة بنتابعك بالرد الرسائل برجاء المراجعة ساره ,خدمة,1
احنا بنتابعك الرسائل برجاء المراجعة تم الرد رضوى ,,
 إحنا ممكن نساعدك بنعتذرلك الانتظار اكيد إحنا بنعمل كل إللي نقدر عشان نرد مكالمتك بسرعه ,نرد مكالمتك,1
بالفعل بيتم المتابعة الرسائل عشان نضمنلك احسن خدمة أي استفسار تانى ممكن تبعتهولنا عشان نساعدك ضياء ,خدمة,1
لإن يهمنا تقديم أفضل خدمة بنتابعك بالرد الرسائل برجاء المراجعة ساره ,خدمة,1
ياشباب بعت مرات فعلا ما تفتحوا الدي ,,
 عشان نقدر نراجع الخط استأذنك هنحتاج يتم توضيح الرقم والتفاصيل الرسائل الاء ,,
 اهلا بيك بشكل عام سعر الخط جنيه قرش فقط هنتابعك بتفاصيل اكتر الرسايل نور ,,
 بيتم المتابعة الرسائل عشان نضمنلك احسن خدمة اى استفسار تانى ممكن تبعتهولنا بالرسائل للمساعده دينا ,خدمة,1
جيجا يخلصوا ف خمس ايام ليه امال مكناش ف رمضان ,,
 إحنا هنا لمساعدتك يهمنا الرد ممكن توضيح الرقم والتفاصيل الرسائل للمراجعه بشكل افضل ياسمين ,,
 بالفعل تم المتابعة الرسائل عشان نضمنلك احسن خدمة اى استفسار تانى ممكن تبعتهولنا عشان نساعدك محمود ,خدمة,1
مدربين تماما عدم حل اي مشكلة وكدابين وخدمة زي الزفت طيب نكلم مين الشركة خطأ تعمله الشركة وترفض حله وتم عمل شكوي الجهاز القومي لتنظيم الاتصالات حد يعرف سكة بمقاضاة الشركة لما لحق بي أضرار وطلب تعويض عدة ملايين ,خدمة,-1
لإن يهمنا تقديم أفضل خدمة بنتابعك بالرد الرسائل برجاء المراجعة اندرو ,خدمة,1
اهلا بك رسالتك وصلتنا بيتم الرد برجاء المراجعة نورهان ,,
 بالفعل تم المتابعة الرسائل عشان نضمنلك احسن خدمة أي استفسار تانى ممكن تبعتهولنا عشان نساعدك جنة ,خدمة,1
احنا بنتابعك الرسائل برجاء المراجعة تم الرد منار ,,
 علشان استفسارك يهمنا احنا تابعناك الرسائل برجاء متابعتنا الرسائل لضمان سرعة الرد للحفاظ سرية بياناتك هيثم ,"الرد،بيانات","1,1"
إحنا هنا لمساعدتك يهمنا الرد ممكن توضيح الرقم والتفاصيل الرسائل ده للمراجعه بشكل أفضل ندي ,,
 نتمني دايما نكون عند حسن ظنك اسلام ,,
 لإن يهمنا تقديم أفضل خدمة بنتابعك بالرد الرسائل برجاء المراجعة دينا ,خدمة,1
بيتم متابعتك الرسايل دينا ,,
 مواعيد العمل بمعظم فروعنا شهر رمضان الكريم الفترة الصباحية السبت للخميس ص م ,شهر رمضان ,1
بيتم متابعتك الرسايل دينا ,,
 الحقو يا جماعة اورنج بتقول إنكم اللي قاطعين خدمات الانترنت سنترال سوادة يوم الجمعة وواقفين حال الناس اللي بتستخدم خدمات اورنج المطلوب رد سريع وإصلاح الخدمة بدل ما نرفع الشكوى لوزير الاتصالات ,"خدمات الانترنت،رد","-1,-1"
تم الرد الرسائل اسلام ,,
 احنا بنتابعك الرسائل برجاء المراجعة تم الرد ,,
 إحنا هنا لمساعدتك يهمنا الرد ممكن توضيح الرقم والتفاصيل الرسائل ده للمراجعه بشكل أفضل ندي ,,
 بنتابعك الرسايل سالي ,,
 نستأذنك المتابعه الرسائل حفاظا سريه البيانات نادر ,البيانات,1
يوم الجمعة م م الفترة المسائية السبت للأربعاء م م ,,
 رسالتك وصلتنا بيتم الرد جميل ,,
 إحنا هنا لمساعدتك يهمنا الرد ممكن توضيح الرقم والتفاصيل الرسائل للمراجعه بشكل افضل مندور ,,
 تم الرد الرسائل عمر ,,
 اهلا بيكي إحنا هنا لمساعدتك يهمنا الرد ممكن توضيح الرقم والتفاصيل الرسائل للمراجعه بشكل افضل ,,
 إحنا هنا لمساعدتك يهمنا الرد ممكن توضيح الرقم والتفاصيل الرسائل للمراجعه بشكل افضل ساره ,,
 عشان نقدر نراجع الخط استأذنك هنحتاج يتم توضيح الرقم والتفاصيل الرسائل ,,
 العفو موجودين لمساعدتك اي وقت نهال ,,
 إحنا هنا لمساعدتك يهمنا الرد ممكن توضيح الرقم والتفاصيل الرسائل للمراجعه بشكل افضل طارق ,,
 لإن يهمنا تقديم أفضل خدمة بنتابعك بالرد الرسائل برجاء المراجعة ,خدمة,1
لإن يهمنا تقديم أفضل خدمة بنتابعك بالرد الرسائل برجاء المراجعة ساره ,خدمة,1
بالفعل تم المتابعة الرسائل عشان نضمنلك احسن خدمة اى استفسار تانى ممكن تبعتهولنا عشان نساعدك جهاد ,خدمة,1
يهمنا وجودك معانا مشكلة بتواجهك إحنا موجودين عشان نحلها وهيتم التواصل الرسائل طارق ,,
 اهلا بيك بيتم الرد والتواصل الرسائل عبداللطيف ,,
 بيتم المتابعه الرسائل مندور ,,
 احنا بنتابعك الرسايل لمساعدتك محمد ,,
 هل حد زي كل ما اكلم ال بتاعت مش بلاقي حد بيرد ولا انا بس ,,
 تم الرد ال عبداللطيف ,,
 احنا بنتابعك الرسائل برجاء المراجعة تم الرد بسنت ,,
 بالفعل تم المتابعة الرسائل عشان نضمنلك احسن خدمة أي استفسار تانى ممكن تبعتهولنا عشان نساعدك اندرو ,خدمة,1
لإن يهمنا تقديم أفضل خدمة بنتابعك بالرد الرسائل برجاء المراجعة جهاد ,خدمة,1
اهلا بيكي إحنا هنا لمساعدتك يهمنا الرد عليكي ممكن توضيح الرقم والتفاصيل الرسائل للمراجعه بشكل افضل مها ,,
 كيف اجدد الباقة التطبيق ,خدمة,1
بالفعل تم المتابعة الرسائل عشان نضمنلك احسن خدمة أي استفسار تانى ممكن تبعتهولنا عشان نساعدك ساره ,خدمة,1
العفو موجودين لمساعدتك اي وقت نهال ,,
 اهلا هبة إحنا هنا لمساعدتك يهمنا الرد ممكن توضيح الرقم والتفاصيل الرسائل للمراجعه بشكل افضل نهال ,,
 إحنا هنا لمساعدتك يهمنا الرد ممكن توضيح الرقم والتفاصيل الرسائل للمراجعه بشكل افضل سها ,,
 تم الرد الرسائل عمر ,,
 جاتلي رسالة ان اورانج كاش هتخصم جنيه علشان انا مش بستخدم المحفظة كلمت وقولتلهم انا مش عامل محفظة اصلا قالولي هنحولك خدمة عملاء اورنج كاش بقالي دقيقةعلى الانتظار هو انا دخلت البنك الاهلي وهنتظر ساعتين ولا انتم صايمين ,,
 بالفعل تم المتابعة الرسائل عشان نضمنلك احسن خدمة أي استفسار تانى ممكن تبعتهولنا عشان نساعدك شهاب ,خدمة,1
احنا بنتابعك الرسائل برجاء المراجعة تم الرد سيف ,,
 رديت حضرتك فاارسايل ,,
 إحنا هنا لمساعدتك يهمنا الرد ممكن توضيح الرقم والتفاصيل الرسائل للمراجعه بشكل افضل رمضاناربيع جهاد ,,
 لإن يهمنا تقديم أفضل خدمة بنتابعك بالرد الرسائل برجاء المراجعة مها ,خدمة,1
احنا بنتابعك الرسائل برجاء المراجعة تم الرد ياسمين ,,
 بالفعل تم المتابعة الرسائل عشان نضمنلك احسن خدمة اى استفسار تانى ممكن تبعتهولنا عشان نساعدك ياسمين ,خدمة,1
رسالتك وصلتنا بيتم الرد برجاء المراجعة رمضاناربيع جهاد ,,
 بالفعل تم المتابعة الرسائل عشان نضمنلك احسن خدمة أي استفسار تانى ممكن تبعتهولنا عشان نساعدك دوماديوس ,خدمة,1
بنعتذر تجربتك وبرجاء المتابعة الرسائل لمساعدتك كريم ,,
 طيب انا بعت عايز ايه ,,
 بالفعل تم المتابعة الرسائل عشان نضمنلك احسن خدمة أي استفسار تانى ممكن تبعتهولنا عشان نساعدك الاء ,خدمة,1
عشان نقدر نراجع الخط استأذنك هنحتاج يتم توضيح الرقم والتفاصيل الرسائل ,,
 الان الخدمة غير متاحة يا فندم وهيتم الاعلان فور توفرها جميع الوسائل المتاحة امام ,"خدمة،الوسائل","-1,1"
إحنا هنا لمساعدتك يهمنا الرد ممكن توضيح الرقم والتفاصيل الرسائل للمراجعه بشكل افضل سالي ,,
 بالنسبه للاستاذة اللي ردت عليا امبارح الرد ده ليه محدش اتصل بيا امبارح للنهارده ولا كل ده مجرد كلام بتريحو العميل بيه ,,
 إحنا هنا لمساعدتك يهمنا الرد ممكن توضيح الرقم والتفاصيل الرسائل للمراجعه بشكل افضل مي ,,
 رسالتك وصلتنا بيتم الرد برجاء المراجعة رمضاناربيع جهاد ,,
 احنا بنتابعك الرسائل برجاء المراجعة تم الرد ,,
 يوم الجمعة م م الفترة المسائية السبت للأربعاء م م ,,
 طب انا بقالي ثلث ساعة ال اللهم اجعله خير ,,
 عشان نقدر نراجع الخط استأذنك هنحتاج يتم توضيح الرقم والتفاصيل الرسائل رمضاناربيع جهاد ,,
 الان الخدمة غير متاحة يا فندم وهيتم الاعلان فور توفرها جميع الوسائل المتاحة امام ,"خدمة،الوسائل","-1,1"
بالفعل تم المتابعة الرسائل عشان نضمنلك احسن خدمة اى استفسار تانى ممكن تبعتهولنا عشان نساعدك جهاد ,خدمة,1
رديت ,,
 إحنا هنا لمساعدتك يهمنا الرد ممكن توضيح الرقم والتفاصيل الرسائل للمراجعه بشكل افضل ساره ,,
 احنا بنتابعك الرسائل برجاء المراجعة تم الرد سيف ,,
 بالفعل تم المتابعة الرسائل عشان نضمنلك احسن خدمة اى استفسار تانى ممكن تبعتهولنا عشان نساعدك جهاد ,خدمة,1
بعته لحضرتك فعلا الاستفسار ,,
 سمحت مشكلة عندي الرصيد كل ما اشحن الرصيد بيتخصم طول ,,
 إحنا هنا لمساعدتك يهمنا الرد ممكن توضيح الرقم والتفاصيل الرسائل للمراجعه بشكل افضل ضياء ,,
 إحنا هنا لمساعدتك يهمنا الرد ممكن توضيح الرقم والتفاصيل الرسائل للمراجعه بشكل افضل طارق ,,
 إحنا هنا لمساعدتك يهمنا الرد ممكن توضيح الرقم والتفاصيل الرسائل للمراجعه بشكل افضل مندور ,,
 اهلا بيك إحنا هنا لمساعدتك يهمنا الرد ممكن توضيح الرقم والتفاصيل الرسائل للمراجعه بشكل افضل عبد السلام ,,
 إحنا هنا لمساعدتك يهمنا الرد ممكن توضيح الرقم والتفاصيل الرسائل للمراجعه بشكل افضل مي ,,
 بالفعل بيتم المتابعة الرسائل عشان نضمنلك احسن خدمة أي استفسار تانى ممكن تبعتهولنا عشان نساعدك منار ,خدمة,1
احنا بنتابعك الرسائل برجاء المراجعة تم الرد اندرو ,,
 اهلا بيكي إحنا هنا لمساعدتك يهمنا الرد عليكي ممكن توضيح الرقم والتفاصيل الرسائل للمراجعه بشكل افضل مها ,,
 مواعيد العمل بمعظم فروعنا شهر رمضان الكريم الفترة الصباحية السبت للخميس ص م ,شهر رمضان,1
اهلا بك إحنا هنا لمساعدتك يهمنا الرد ممكن توضيح الرقم والتفاصيل الرسائل للمراجعه بشكل افضل ,,
 بالفعل تم المتابعة الرسائل عشان نضمنلك احسن خدمة أي استفسار تانى ممكن تبعتهولنا عشان نساعدك عبد السلام ,خدمة,1
بالفعل تم المتابعة الرسائل عشان نضمنلك احسن خدمة أي استفسار تانى ممكن تبعتهولنا عشان نساعدك سعاد ,خدمة,1
احنا تابعناك بالفعل الرسايل لمساعدتك محمد ,,
 احنا بنعتذرلك جدا بالفعل تابعنا الرسايل استفسار تاني وضحلناا نساعدك تأكد اننا يهمنا رضائك نور ,,
 بالفعل بنتابعك الرسايل نور ,,
 احنا بنتابعك الرسائل برجاء المراجعة تم الرد منار ,,
 احنا بنتابعك الرسائل برجاء المراجعة تم الرد ,,
 احنا بنتابعك الرسائل برجاء المراجعة تم الرد الاء ,,
 بنعتذر اى مشكله بتواجهك يا فندم حاليا بيتم متابعتك الرسائل امينه ,,
 تمت المتابعه معاك بالفعل يا فندم الرسائل أمينه ,,
 بالفعل تم المتابعة الرسائل عشان نضمنلك احسن خدمة أي استفسار تانى ممكن تبعتهولنا عشان نساعدك ,خدمة,1
تقدر تستخدم كود نفس الخط واختيار رقم للاستعلام رقم الخط دينا ,,
 احنا بنتابعك الرسائل برجاء المراجعة تم الرد جميل ,,
 بنتابعك الرسايل سالي ,,
 لإن يهمنا تقديم أفضل خدمة بنتابعك بالرد الرسائل برجاء المراجعة مها ,,
 اهلا بيك بشكل عام سعر الخط جنيه قرش فقط هنتابعك بتفاصيل اكتر الرسايل نور ,,
 برجاء المتابعة الرسائل تم الرد جاسر ,,
 اهلا بيك إحنا هنا لمساعدتك يهمنا الرد ممكن توضيح الرقم والتفاصيل الرسائل للمراجعه بشكل افضل عبد السلام ,,
 تم المتابعة الرسائل عشان نضمنلك احسن خدمة اى استفسار تانى ممكن تبعتهولنا بالرسائل للمساعده امام ,خدمة,1
اهلا بك عشان نساعدك بشكل افضل محتاجين تفاصيل اكتر الاستفسار ماري ,تفاصيل,1
تقريبا كدة لموا فلوس العملاء وعملوا بيها شهايد الفايدة ,,
 بالفعل تم المتابعة الرسائل عشان نضمنلك احسن خدمة أي استفسار تانى ممكن تبعتهولنا عشان نساعدك اندرو ,خدمة,1
علشان استفسارك يهمنا احنا تابعناك الرسائل برجاء متابعتنا الرسائل لضمان سرعة الرد للحفاظ سرية بياناتك هيثم ,,
 إمبارح حصل معايا موقف كويس كان عندي مشكله باقة الانترنت وكلمتهم قدمت شكوى الموظف اللي رد عليا كان ذوق ولطيف جدا أقل ساعه كلمتني موظفة مرتين وتتابع معايا حل المشكله بجد شكرا ان اورانج رجعت تاني لمستوى عالي خدمه العملاء ,"موقف،الموظف ","1,1"
اهلا بك رسالتك وصلتنا بيتم الرد برجاء المراجعة ساره ,,
 إحنا هنا لمساعدتك يهمنا الرد ممكن توضيح الرقم والتفاصيل الرسائل للمراجعه بشكل افضل دوماديوس ,,
 اهلا بيك بيتم الرد والتواصل الرسائل عبداللطيف ,,
 بالفعل تم المتابعة الرسائل عشان نضمنلك احسن خدمة اى استفسار تانى ممكن تبعتهولنا عشان نساعدك محمود ,,
 صباح الخير بالفعل تم المتابعة الرسائل عشان نضمنلك احسن خدمة أي استفسار تانى ممكن تبعتهولنا عشان نساعدك رغده ,,
 إحنا هنا لمساعدتك يهمنا الرد ممكن توضيح الرقم والتفاصيل الرسائل للمراجعه بشكل افضل ساره ,,
 احنا بنتابعك الرسايل لمساعدتك محمد ,,
 إحنا هنا لمساعدتك يهمنا الرد ممكن توضيح الرقم والتفاصيل الرسائل للمراجعه بشكل افضل عبداللطيف ,,
 عشان نقدر نراجع الخط استأذنك هنحتاج يتم توضيح الرقم والتفاصيل الرسائل دوماديوس ,,
 اهلا بيك إحنا هنا لمساعدتك يهمنا الرد ممكن توضيح الرقم والتفاصيل الرسائل للمراجعه بشكل افضل عبد السلام ,,
 جاتلي رسالة ان اورانج كاش هتخصم جنيه علشان انا مش بستخدم المحفظة كلمت وقولتلهم انا مش عامل محفظة اصلا قالولي هنحولك خدمة عملاء اورنج كاش بقالي دقيقةعلى الانتظار هو انا دخلت البنك الاهلي وهنتظر ساعتين ولا انتم صايمين ,,
 بيتم المتابعة الرسائل عشان نضمنلك احسن خدمة اى استفسار تانى ممكن تبعتهولنا بالرسائل للمساعده امام ,,
 لتجنب مصاريف الخدمة يمكنك عمل اى معاملة مالية محفظتك بيتم متابعتك الرسايل جميل ,,
 بيتم المتابعه الرسائل مندور ,,
 لإن يهمنا تقديم أفضل خدمة بنتابعك بالرد الرسائل برجاء المراجعة ساره ,,
 نتمني دايما نكون عند حسن ظنك اي استفسار احنا خدمتك دايما ال عبداللطيف ,,
 احنا بنتابعك الرسائل برجاء المراجعة تم الرد الاء ,,
 بالفعل تم المتابعة الرسائل عشان نضمنلك احسن خدمة اى استفسار تانى ممكن تبعتهولنا عشان نساعدك ياسمين ,,
 الرسائل إحنا هنا لمساعدتك يهمنا الرد ممكن توضيح الرقم والتفاصيل طارق ,,
 بالفعل تم المتابعة الرسائل عشان نضمنلك احسن خدمة اى استفسار تانى ممكن تبعتهولنا عشان نساعدك محمود ,,
 مدربين تماما عدم حل اي مشكلة وكدابين وخدمة زي الزفت طيب نكلم مين الشركة خطأ تعمله الشركة وترفض حله وتم عمل شكوي الجهاز القومي لتنظيم الاتصالات حد يعرف سكة بمقاضاة الشركة لما لحق بي أضرار وطلب تعويض عدة ملايين ,,
 تم الرد الرسائل عمر ,,
 احنا بنتابعك الرسائل برجاء المراجعة تم الرد ,,
 بعته لحضرتك فعلا الاستفسار ,,
 بالفعل تم المتابعة الرسائل عشان نضمنلك احسن خدمة اى استفسار تانى ممكن تبعتهولنا عشان نساعدك ياسمين ,,
 عشان نقدر نراجع الخط استأذنك هنحتاج يتم توضيح الرقم والتفاصيل الرسائل دوماديوس ,,
 إحنا هنا لمساعدتك يهمنا الرد ممكن توضيح الرقم والتفاصيل الرسائل للمراجعه بشكل افضل سعاد ,,
 بالفعل بيتم المتابعة الرسائل ماري ,,
 إمبارح حصل معايا موقف كويس كان عندي مشكله باقة الانترنت وكلمتهم قدمت شكوى الموظف اللي رد عليا كان ذوق ولطيف جدا أقل ساعه كلمتني موظفة مرتين وتتابع معايا حل المشكله بجد شكرا ان اورانج رجعت تاني لمستوى عالي خدمه العملاء ,,
 عشان نقدر نراجع الخط استأذنك هنحتاج يتم توضيح الرقم والتفاصيل الرسائل رمضاناربيع جهاد ,,
 إحنا هنا لمساعدتك يهمنا الرد ممكن توضيح الرقم والتفاصيل الرسائل للمراجعه بشكل افضل ,,
 الحقو يا جماعة اورنج بتقول إنكم اللي قاطعين خدمات الانترنت سنترال سوادة يوم الجمعة وواقفين حال الناس اللي بتستخدم خدمات اورنج المطلوب رد سريع وإصلاح الخدمة بدل ما نرفع الشكوى لوزير الاتصالات ,,
 إحنا هنا لمساعدتك يهمنا الرد ممكن توضيح الرقم والتفاصيل الرسائل للمراجعه بشكل افضل ,,
 بالفعل تم المتابعة الرسائل عشان نضمنلك احسن خدمة أي استفسار تانى ممكن تبعتهولنا عشان نساعدك جنة ,,
 اهلا بك عشان نساعدك بشكل افضل محتاجين تفاصيل اكتر الاستفسار مندور ,,
 لإن يهمنا تقديم أفضل خدمة بنتابعك بالرد الرسائل برجاء المراجعة دينا ,,
 بيتم المتابعة الرسائل عشان نضمنلك احسن خدمة اى استفسار تانى ممكن تبعتهولنا بالرسائل للمساعده امام ,,
 بالنسبه للاستاذة اللي ردت عليا امبارح الرد ده ليه محدش اتصل بيا امبارح للنهارده ولا كل ده مجرد كلام بتريحو العميل بيه ,,
 بيتم متابعتك الرسايل دينا ,,
 خدمة فودافون كاش بتتعطل كتير جدا رحت الفرع بدري بيقولولي مافيش فلوس فروع بورفؤاد بورسعيد ,,
 حوار الهدايا والشحنات بتاع فودافون اللي الارقام بتبعتها لبعض دي غريبه اوي ماسحين الرقم بتتبعت بردو ,,
 عملت وبعمل بس هو طول بيفتح حساب جديد وبينشر الفيديوهات مره تانيه العيب مش العيب اللي بيشترو فضايح الناس مقابل فودافون كاش ,,
 فودافون كلها غلط ,,
 ايوه انا ارسلت فودافون كاش النمره اللى حضرتك صححتها ,,
 هو احلى كده اعلان فودافون خرج جوانا نفسنا نعشها ,,
 اه ف فودافون ,,
 فودافون باعته رسالة لبابا بتقوله شكرا سنة بينا وبالمناسبة دي باعتين عروض وهو ساعة ماشافها وهو متأثر بالمسج ومبسوط بيها اوي اوي بيقولي بصي افتكروني ازاي ده انا متجوز امك بقالي سنه عمرها ما قالتهالي ايموشنال اوي يا حبيبي ,,
 جهازحمايةالمستهلك بيقول للمشتكى لازم تكلم شركة فودافون الحرامية تقولهم سمحتوا محتاج تسجلوا شكوى عندكم انكم حرامية هل يعقل شركة هتسجل شكوى ضد نفسها لا بتريحوا دماغكم تعرصوا الكبار الاغنياء تيجوا الفقير الغلبان شكوى أيام لا يتحرك احد ,,
 كل أسبوع باقه ب جنيه ببلاش فودافون دول اخواتي والله ,,
 فودافون باعته رسالة لبابا بتقوله شكرا سنة بينا وبالمناسبة دي باعتين عروض وهو ساعة ماشافها وهو متأثر بالمسج ومبسوط بيها اوي اوي بيقولي بصي افتكروني ازاي ده انا متجوز امك بقالي سنه عمرها ما قالتهالي ايموشنال اوي يا حبيبي ,,
 شوفلك حد فودافون ,,
 لما فودافون تسرق فليكس واكلم الجهاز القومي لتنظيم الاتصالات ساعتين يتم تعوضي الباقه كلها يبقا تحيا مصر ,,
 هو كان عندى بس لقيت فودافون كاش بس بيفتح ويقول لازم تحديث جيت اعمل تحديث قالي انه ماعدش صالح للاستخدام ع موبايلي مسحته وبدور ع النسخة الجديدة مش لاقية لا القديمة ولا الجديدة تطبيق مش بلاقيه تقريبا عشان انا هواوي ,,
 كارت فودافون ,,
 ممكن تجربة خطوات تنشيط الشبكة ضبط الشبكة بشكل يدوى اختيار أي شبكة غير فودافون اختيار فودافون بعدين قفل التليفون فتحه تاني وتجربة الخدمة وابلاغنا بالنتيجة لسه نفس المشكلة ممكن ارسال رقمك العنوان بالتفاصيل الانبوكس ,,
 أخر يوم ليا فودافون ربنا يكتبلى كل الخير اللى جاى ,,
 ممكن تجربة خطوات تنشيط الشبكة ضبط الشبكة بشكل يدوى اختيار أي شبكة غير فودافون اختيار فودافون بعدين قفل التليفون فتحه تاني وتجربة الخدمة وابلاغنا بالنتيجة لسه نفس المشكلة ممكن ارسال رقمك العنوان بالتفاصيل الانبوكس ,,
 شحنات كارت فودافون ,,
 يا شباب هو شبكة فودافون القاهرة مشكلة هل الشبكة وقعت لإن الموبايلات الفودافون عندي فالبيت مش مجمعة شبكة خالص للأسف ,,
 اللي عمال يبعتلي رصيد هدية فودافون ومبالغ حلوة الصراحة والله شكرا وكل حاجة كتر خيرك بس أنا معنديش حد أكلمه ,,
 وربنا يجعلنا سبب شفاءه وفك كربه والموضوع يتحل قبل يوم الجمعة بالله ما تعدوا الموضوع ده كل تصرف بسيط هيفرق أوى وده رقم فودافون كاش ,,
 انا عندي خطين اتصالات فودافون بستخدمهم مناطق مناطق بتكون الشبكة احسن لشركة البيت اورانج بصراحة كلهم اسوأ بعض ما شاء الله ,,
 شغل اون لاين للطلاب والسحب فودافون كاش يوميا ,,
 حوار الهدايا والشحنات بتاع فودافون اللي الارقام بتبعتها لبعض دي غريبه اوي ماسحين الرقم بتتبعت بردو ,,
 حسب أنا متخيل إن عندك وي اصلا ومحتاجة تغيري الروتر بس اي خدمة تانية عادى فودافون مثلا ,,
 متاح التبرع فودافون كاش أحلىشبابأسيوط الدال الخير كفاعله شير للبوست يمكن حد يتبرع ,,
 حد موصل انترنت اورنج فودافون وي وكان تي داتا وراح غير الراوتر يكلمني ضروري ,,
 الليبيناحياة عمرودياب كلمات ألحان عزيزالشافعي توزيع وسام عبد المنعم ميكس ماستر أمير محروس إعلان فودافون رمضان ,,
 فودافون تستكمل شراء ومصارى الفترة المقبلة ,,
 ممكن متابعة تفاصيل الخصم والاستهلاك تطبيق انا فودافون اختيار المزيد الشحن والرصيد تفاصيل الرصيد ووضحلنا النتيجه فضلك ,,
 شبكه فودافون صعبه اوي النهارده ,شبكه فودافون,-1
كود فودافون ده هيوصلني ايه معرفش بس احتياطى ادخلو ,,
 تأكد اننا يهمنا مساعدتك للأسف غير متاح الاتصال ممكن نتشرف باتصالك بخدمة العملاء أي خط فودافون ب قرش للمكالمة كلها اي خط تاني بنفس تعريفة الخط الأرضي لمساعدتك مدار ساعة ,"الاتصال،خط فودافون،خط تاني","0,0,0"
شركة فودافون لما فتحت فودافون مقالتليش اني مقدرش احول اكتر ف الشهر المحفظه تاعتي وقفت فلوس مش هاقدر اسحبها احولها مكان عاوز قبل اول الشهر وقالولي ان ممكن اسحب الفلوس الفرع وروحت الفرع قالولي مينفعش يتسحبو ,,
 ممكن مراجعه الاستهلاك البرنامج انا فودافون اول ما تفتح التطبيق هنلاقى مربع الشمال مكتوب كلمة الرصيد نضغط هيظهرلك صفحة تانية هتلاقى فوق مستطيل احمر مكتوب تفاصيل الرصيد هيبان الرصيد اللى اتشحن اللى اتخصم ,,
 جماعة حد فودافون هديله رصيد فرييييي ,,
 جماعة انا بقيت عامل زى الكاستومارز البريتيش بتوع فودافون يوكيه متعصب عشان مش فاهم كسم البتاع ده فـحد يكسب فيا ثواب ,,
 اصدقائي احذروا اختفاء الرصيد فودافون بدون سابق انذار يتم سحب الرصيد بحجة الاشتراك العاب اون لاين رغم انفك تتصل بعد معاناه سماع الموسيقى السخيفة التى تزيدك عصبية فوق عصبية فقدان الرصيد ثم يرد شخص حصل ده يقولي السيستم رغم انف الجميع ,الموسيقي,-1
اشتراك مجاني واتش ات بالتعاون فودافون رمضان برامج ومسلسلات حصري فيديو جديد ومميز قناة اليوتيوب لينك الفيديو كامل ومتنساش تشترك القناة وتفعل زر الجرس ليصلك كل جديد وحصري ,"اشتراك،فيديو","1,1"
اهلا بيك ممكن نتشرف باتصالك خدمة الدعم الفني أي خط فودافون ب قرش للمكالمة كلها اي خط تاني بنفس تعريفة الخط الأرضي لمساعدتك مدار ساعة ,,
 خدمة فودافون كاش بتتعطل كتير جدا رحت الفرع بدري بيقولولي مافيش فلوس فروع بورفؤاد بورسعيد ,خدمة فودافون كاش,-1
