Sentences,Aspects,Sentence Sentiment,Aspects Sentiment
مفيد جدا لانواع كثيره من الهواتف,,1,
الحقيبة لا بأس بها لكن صغيرة بعض الشيء,الحقيبة,1,0
متوسطة المستوى,المستوي,0,0
الماوس ممتاز وانصح بشرائه اذا كنت تبحث عن شيء سعره معقول و يقوم بالمطلوب منه,"الماوس،سعر",1,"1, 0"
الفأرة ممتازة واصلية معها ضمان 5 سنوات من ميكروسوفت,الفأرة,1,1
رغم ان السماعات تعمل بشكل جيد حتي الان لكن الماوس توقف عن العمل بعد اسبوعين فقط من تشغيله وحتي الان لا يعمل ولا اعلم ما حدث له,السماعات,-1,1
تستحق الاقتناء ...,,1,
السعر مناسب وعملية وصحية لاتستخدم الزيت في عمل الفشار وتعمل علي جهد منزلي 220 فولت مثل الكهربا ء في مصر,السعر,1,1
- إيجابيات و سلبيات عصارة البرتقال مع خاصية التقطيع الرائعة من أوربت:,,1,
سلعة جميلة. لمن هم مهتمون بوجبة الفطور وليس لديهم الوقت للوقوف وصنع البيض,سلعة,1,1
"صانعة الاومليت  السحرية تكنولوجيا الطهي الافقي  جهاز رائع للمنزل , ينصح بقتنائه للجميع  و هو عملي جدا و مفيد",صانعة الاومليت  السحرية,1,1
سىء,,-1,
حقيقة أجد متعة في شراء الأدوات الحديثة  شاهدت عروضا في التلفزيون لهذا الجهاز المدهش و أمكانياته الكبيرة ..,الجهاز,1,1
ممتازة جدا وجيدة في الاستخدام وسهولة في التنظيف وتجعلك تقوم باشياء لم تقم بها في السابق وكان من الافضل ان يتم ادراج كتيب مع السلعة يوضح فيه الاستخدامات المتعددة التي تقوم بها,التنظيف,1,1
لا باس ولكن الصورة واضحة ولكن الصوت ضعيف وحجم الشاشه يختلف عن الشاشة المربعه حيث ان الارتفاع اقل من الشاشة المربعة مقاس ١٩ بوصة,"الصورة،الصوت",1,"1, -1"
كويس بس السماعه لاتعمل,,-1,
ممتازة وبنفس المواصفات والشحن سريع ومحفوظة بشكل ممتاز يعطيكم العافية,الشحن,1,1
لعبة جميلة,لعبة,1,1
جهاز عملي ومفيد وسهل الاستخدام,"جهاز،الاستخدام",1,"1, 1"
لا انصح  بشرائها  فهي  سلعة  شكلها  يوحي  بمواصفاتها  ولكن  كل  مواصفاتها  لا تنطبق عليها  ........... فهي  ضعيفه  من حيث  القوة كذالك  تتوقف عند  الضغط  عليها  قليلا  لذالك فهي  لاتعمل بفعالية,سلعة,-1,-1
الجهاز رائع جدا واصلي ومعه ضمان عامان,الجهاز,1,1
لعبة تستحق التجربة وبي سعر قليل لا يضرك أن تقول اسعر كبير لكن في المحلات الأخرى  في كل لعبة سعره ٣٠٠ ﷼ للمعلوميه اللعبة جديدة لا مستعملة,"لعبة،سعر",1,"1, 1"
ماكينة ممتازة ومتعددة الاغراض وسهلة وبسيطة الاستخدام,"ماكينة،الاستخدام",1,"1, 1"
منتج بسيط وسهل الاستعمال وعملي,"منتج،الاستعمال",1,"1, 1"
اشتريت هذه السلعه بسعر 2700 من سوق كوم ايام العروض وهي تستحقالاقتناء ومع الاستمرارية سيزول الشعر الغير مرغوب فيه ولكن يجب الاستمرار حيث انه سيعود للظهور بعد شهر او شهرين من التوقف عن الاستعمال.,السلعه,1,1
"المنتج بشكل عام جيد للحلاقة،لكن السلبية الوحيدة هو وجود شفرة واحدة فقط .. مما يعني الحاجة إلى المرور على المكان الواحد أكثر من مرة أحيانا.","المنتج،شفرة",-1,"1, -1"
ماكينه من براون واصلية ورخيصة السعر مقارنه بالماركة نفسها                 وبتوفر  الذهاب لمراكز التجميل فى تنظيف الحواجب وبنفس الوقت بتقل شعر الحاجب  وجيدة للحواجب وازالة الشعر من مناطق مختلفة بس انا عجبتنى للحاجب  وسهلة الاستخدام للى مش بتعرف تشتغل لنظافة الحواجب,"ماكينه،السعر،الاستخدام",1,"1, 1, 1"
غبر عملي نهائيا ولا يستحق هذا المبلغ كثير عليه مبلغ 10 ريال وحرام حتى النجمة فيه,المبلغ,-1,-1
الجهاز ممتاز ولا داعي للصالونات,الجهاز,1,1
جيدة وبسيطة وسهلة الاستخدام,الاستخدام,1,1
للأسف هذا المنتج من أكثر المنتجات السيئة اللي مرت على لا يغركم الاعلان,المنتجات,-1,-1
جيدة جدا و الجودة في التصنع,,1,
مناسبه ووسعرها جيد بالنسبه للسوق وكمان ناسبت عيونى ولم تسبب لى اي حساسيه مثل الانواع الاخرى التى استخدمتها سابقا ... شكرا للسوق و للبائع .. بصراحه روعه,سعر,1,1
جميلة وأنيقة ... للإستخدام اليومي ولجميع المناسبات .,,1,
نظارة لجميع المناسبات ... أنيقة وعصرية .,نظارة,1,1
نظارة ماركة جيدة مع ضمان وشكل عصري انيق,"نظارة،شكل",1,"1, 1"
منتج ممتاز جدا وسهل الاستخدام,"منتج،الاستخدام",1,"1, 1"
"جيدة وعصرية, ولكن ينقصها المنظفات",,0,
الشكل جميل فقط,الشكل,-1,1
ممتاازة- كل المشتملات المانى قوية و براسين ملاقيط - شكرا جدا على الخدمة الممتازة- أنصح بها بشدة,الخدمة,1,1
هذه الماكينة تعمل بالكهرباء من خلال ادابتور ولا تعمل بالشحن ولكنها جيدة جدا وسهلة الاستخدام وتؤدى المطلوب بكل سهولة .,"الماكينة،الاستخدام",1,"1, 1"
ممتازة تلبي الاحتياجات المطلوبة رائعة و مريحة انصح بشرائها و شكرا جزيلا,,1,
جيده ولكن الحجم كبير,الحجم,0,-1
المنتج رائع و عملي جدا و غير متوفر الا من خلال سوق.كوم.,المنتج,1,1
نوعيه  ممتاز   وسعر  في متناول الجميع  ولاكن  تسبب  طشاش  خفيف   وتقطعت من  بعد استخدامها  اربع مرات,"نوعية،سعر،طشاش",0,"1, 1, -1"
المنتج ردئ الصناعة والجودة منخفظه كذلك اثار استغرابي انها وصلت لي في حقيبة لنظارة بولس حتى الاطار الخاص بالنظارة مطبوع عليه بولس والعدسات بولرايزد - نوعية العدسة غير ما كنت اتوقع بالاضافة الي انها عريضة على الوجه وغير ثابتة بسبب وزنها الخفيف . تقييمي للمنتج لا يستحق المبلغ المعروضة به .,"المنتج،الجودة،وزن،نوعية العدسة",-1,"-1, -1, -1, -1"
نظارة مريحة جدا للعينين وذات تصميم عصري وجذاب .,"نظارة،تصميم",1,"1, 1"
صراحة رووووعة,,-1,
موتور ماكينة الحلاقه ضعيف جدا...مجرد ديكور خارجي جذاب ومضمون سئ...ايضا مزعجه جدا بدون فائده,"موتور ماكينة الحلاقه،ديكور،مضمون",-1,"1, 1, -1"
قطعة رهيبة وسهلة الاستخدام وبتنضف منيح,"قطعة،الاستخدام",1,"1, 1"
ممتازه جدا ولا احلى على مقارنه بسعرها,,1,
"أنصح باقتنائها فهي قوية جداً , وسعرها مناسب , وفترة الشحن طويلة ..","سعر،فترة الشحن",1,"1, 1"
يجب اقتناؤها للعنايه بالبشره والحصول على جسد ناعم بدون جروح او خدوش نظر لرأسها الناعم  ومساعدة الجلد على التجدد,رأس,1,1
مررره حلووووه  وراااائعة جداااا وقطعهامناسبه وعديدة وسهلة الاستخدام وجودتها عالية وتم توصليها لي بحالة جيده وبسرعه وبسهولة,"قطع،الاستخدام،جودة،حالة",1,"1, 1, 1, 1"
اللعبة ممتعة و تستحق الشراء,اللعبة,1,1
لعبة ممتعه,لعبة,1,1
اللعبة جدا سيئة ولا تستحق الشراء,اللعبة,-1,-1
المنتج رائع والبائع اروع,"المنتج،البائع",1,"1, 1"
أستمتعت بالمنتج بالتحديات مع أصدقائي شكراً لكم على هذا المنتج الرائع,المنتج,1,1
من الألعاب اللتي تتمتع بالمزاياء الجيده من ناحية التشويق والإثاره والمشاركة مع اصدقائك او من حول العالم واللعبة تتميز بمزاياء مختلفة عن جميع الأجزاء اللتي تم طرحها من قبل الشركة المصنعة للعبة وشكراً جزيلاً,المزاياء,-1,1
سعرها غالي جدا مقارنة برداءة صناعتها,"سعر،صناعة",-1,"-1, -1"
براون ماركه محترمه جدا,براون,1,1
منتج رائع  عن تجربة فهى مثاليه لإزاله شعر الوجه والدقن  و تغنيكى عن مشوار الكوافير  والتى اصبحت ممله  جدا و مكلفه  ايضا   لذا  انصح  الكل  باقتناؤها,"منتج،مشوار الكوافير",1,"1, -1"
مجهود رائع وتستحق التجربة فعلا - واقعية جدا وبها تحديث عبر الانترنت حتي 2020 لكل ماهو جديد سهلة الاستحدام.,"مجهود،الاستخدام",1,"1, 1"
سرعة في التوصيل - المنتج رائع واوصي به,المنتج,1,1
نظارة أصلية وذات تصميم جذاب جدا ... لونها أنيق .,"نظارة،لون",1,"1, 1"
اولا تحياتي للبائع علي صدقه وامانته في عرض السلعة وتسليمها بنفس مواصفاتها فهو بائع ممتاز جدا واتمني تكرار تجربتي معه,بائع,-1,1
ليست قوية الاداء,,0,
فى البداية كانت سريعه ومن تانى مرة لاقيتها بطيئة جدا ولكن فى منها اصلى ومكتوب عليها الاسم وبلد المنشاء ولكن دى مش مكتوب عليها شىءوارجو من سوق ينزل لنا الاصلية منها لانى لاقيتها على سوق السعودية من دود  واصليةارجو وجودها هنا لو سمحتوا,,-1,
منتج ممتاز,منتج,1,1
جميلة وخامتها ممتازة ومناسبة لي كثير  وزنها خفيف وسعرة جيد جدا واقل من السوق التجاري بكثر وانصح الشباب وبستخدام سوق لشراء العديد من اللوازم فخيراته كثيرة جدا وتصل البضعاعة بسرعة كبيرة,"خامة،وزن،سعر",1,"1, 1, 1"
المنتج ممتاز وابلغت صديقي,المنتج,1,1
ممتاز حسب الواصفات والصدق في حالة المنتج,المنتج,1,1
راائع انه مساج حقيقي,مساج,1,1
الجهاز اكثرمن رائع وعملي وممتاز ولايكلف وقت كثير ومن اجمل الاجهزه التي اقتنيتها فعلا جهاز جميل وسهل الاستعمال,"الجهاز،الاستعمال",1,"1, 1"
رائعه ممتازة وأنيقه,,1,
النظاره جميله جدا جدا,النظاره,1,1
بشمل عام جيدة,,1,
ممتعة ورائعة وخفيفة وجميلة جدا جدا جدا مسلية ومناسبة لسن الاطفال وسريعة الاستخدام روووووعه رووووووعة رووووعة,الاستخدام,1,1
إيجابيات هذه السلعه سعرها مغري جداً وانصح بشرائها شكرًا لكم سوق.com وانصح بشرائها لاصدقائي ولا تنسو امانة سوق.com وأفضل حاجه الدفع عند التسليم,سعر,1,1
انصحكم فيها وأحسن شي توصلك بسرعه اطلبها من بيتك وتوصل لمكانك,,1,
ليس كما اردت لا اريده اتمنا عدم شحنه,,-1,
ممتازة في كل شيئ .. لكن يجب عليكم وضع الصورة لها بكل دقة و مصداقية وليست صورة سلعة مشابهة لتلك السلعة لان هناك افراد يشترون من سوقكم لاول مرة .. وشكرا جزيلا,,1,
لقد أحبتها طفلة أختي ولم تعد تتناول طعامها إلا بها والأجمل أنها تريد أن تستخدمها بنفسها,,1,
فتحة التغذية غير مناسبة لطفل عمره 8 اشهر وحجم فتحة التغذية يصعب توفرها بالصيدليات للمقاسات المختلفة عن اللتي جات مع الرضاعة,"فتحة التغذية،حجم فتحة التغذية",0,"-1, -1"
المنتج سيء ولا يعمل كما هو مزكور بالوصف ويسبب ألم شديد والسعر المذكرور مرتفع ..,"المنتج،ألم،السعر",-1,"-1, -1, -1"
سلعه اكثر من رائعة,سلعه,1,1
رائعه جدا وانصح باستخدامها فهي سريعه في التعقيم وتلخذ مساحه كبيره حيث تاخذ ٦ رضاعات وبحجم ٢٠٠ مل وتعقم خلال عشر دقائق فقط,مساحه,1,1
"رووووعه قد ماتوصف هذي الكلمه من معنى ،خص نص انه ضد الماء ممكن استعماله بدون خوف او قلق ،معها زيت للمكينه ،معه فرشه صغيره ومشط للشعر ،اشكرك جدا",,1,
منتج ممتاز وسعره ممتاز,"منتج،سعر",-1,"1, 1"
جائتني شحنتي قبل امس وشغلت الماكينة اشتغلت قلت شكلها ممتاز وللاسف جيت اشغلها ثاني يوم علقت المكينة بالداخل تعمل والمقصات معلقة لا تعمل وللاسف طبعا سلعة سيئة,"شكل،سلعة",-1,"1, -1"
عملية وسهلة الاستخدام والتنظيف,الاستخدام,1,1
سلعة ضعيفة جدا و لا تصلح للاستخدام اذ انها لا تقوم بزالة الشعر,سلعة,-1,-1
السلعه صراحه ممتازه ولم اتصور ان تكون بمثل هذه القوه في الحلاقه والتخفيف وانصح لكل من يريد شرائها الشراء دون تردد حيث انى مستخدمها لى الحين 3 ايام ممتازه وسيلها بالماء ولا اسهل ولا تؤثر على الماكينه,السلعه,1,1
ما إيجابيات هذا المنتج:,,-1,
الماكينة جيدة و عملية و لكن لم أشعر بالنعومة التي توقعتها و تحتاج إلى تكرار عملية الحلاقة في المكان الواحد مرارا لتحصل على نتيجة أفضل ومع ذلك فأنا أنصح بها و خاصة أعجبني هدوءها خلال العمل و إمكانية استخدامها خلال الإستحمام,الماكينة,1,1
اللعبه رائعه جدا ورسومها خورافيه,"اللعبه،رسوم",1,"1, 1"
ممتع,,1,
"اللعبة جداً ممتعه ومشوقه , التغليف كان ممتاز , البائع محترف ,","اللعبة،التغليف،البائع",1,"1, 1, 1"
سلعه جيده اشكركم على جهودكم الرائع,"سلعه،جهود",1,"1, 1"
منتج جميل,منتج,1,1
انصح فيه يعني زين,,1,
عدم وضوح الشاشة-عدم التحكم بالعب-سرعة العطب,,-1,
اتمنى لك كل التوفيق استلمت الشحنة و بحالة ممتازة  شكرا لك  وسوف اتعامل معك دائما.,حالة,1,1
جهاز ممتاز وصحي,جهاز,1,1
ممتازة ومرفق بها الملحقات وتساعد ست البيت والموظفة والعاملة على الطهى الجيد,الطهي,1,1
لا تعصر النواشف مثل البن والهيل والمكسرات,,-1,
منتج جيد ويخدم غرضه تماما,منتج,1,1
لا بأس بها ولم يتم تجربتها إلا مره واحد ولا تتضح العيوب الابعد فترة من الاستخدام  أما سؤالكم الآن ليس له إجابة الا بعد فترة من الستخدام .,,0,
ليس جيدا منتج فاشل.,منتج,-1,-1
ممتازة وينصح بوجودها في المطبخ لكونها عملية وقوية ومتعددة الاستعمال وبحكم التجربة فإنها مريحة ولا تحتاج لجهد,الاستعمال,1,1
غالي جدا جدا دبل السعر في المحلات ارخص من سوق,,-1,
شراب الكولاجين الامريكي,,1,
المنتج  جيد جدا,المنتج,1,1
منتج لااباس به,منتج,1,0
ممتاز جدا ومفعوله ممتاز وانصح به للجميع ومن الضروري اخذ التعليمات قبل الاستخدام .,مفعول,1,1
المنتج من افضل الكراسي اللي ممكن الطفل يستخدمها,المنتج,1,1
تصميم رائع يفتقد الجودة,تصميم,-1,1
جيدة وتفيد اثناء انقطاع الكهرباء وسهلة الحمل وتستطيع ان تستخدمعا خار المنزل ومنظرها جميل ولا تاخذ حيز من المكان,"الحمل،منظر",1,"1, 1"
منتج جميل وعملي والسعر عادل,"منتج،السعر",1,"1, 1"
غير جيده ولا تستحق ان تعرض في موقع مثل سوق كي لا يخسر عملاء النظاراه ردئه الصنع وخامتها ضعيفه جدا وغير مطابقه في الموقع,"الصنع،خامة",-1,"-1, -1"
السلعة جيدة الحمدلله و لكن هناك فص فضي غير موضوع على طرف النظارة عندما وصلتني لكن بشكل عام ممتازة و جودتها لا بأس فيها,"السلعة،جودة",1,"1, 1"
لو في اقل من نجمة لاعطيتها للمنتج,,-1,
سلعه رائعه جداً جداً وسعرها مناسب وانصح باستخدام السلعه لصغر حجمها وسهولة حملها واستخدامها وطريقة شحنها,"سلعه،سعر،حجم،حمل",1,"1, 1, 1, 1"
سلعة ممتازه للغاية من جميع النواحي. جودة عالية سعر رخيص وحسن تعامل من سوق كوم .,"سلعة،جودة،سعر،تعامل",1,"1, 1, 1, 1"
"الجهاز جميل جدا من حيث التعامل وشكل الجهاز وحجمه،لكن بعض التطبيقات اللي كنت مستخدمها في الايباد ميني متغيره نوعا ما في الجهاز هذا،وكمان النت والتحميل هنا نوعا ما ثقيل حيث ياخذ الكتاب الواحد هنا قرابة الخمس دقايق في التنزيل مقارنة بالايباد ميني اياخد دقيقة او اقل. بس جدا في المجمل.","الجهاز،التحميل",1,"1, -1"
"وصلتني بحالة ممتازة وتعمل بشكل رائع, القلم ساعدني في تقليل كمية الأوراق التي أحتفظ بها بعد الإنتهاء من المادة و الرغبة بتخزين ملخصاتها.","حالة،تعمل",1,"1, 1"
السلعة ممتازة ماشاء الله و وصلت في الوقت المحدد لها,السلعة,1,1
سلعة جميلة وعملية بس تبغى حذر في الاستخدام والانتباه عشانها دقيقة وسعرها رااااائع جدا وافضل الموجود....,"سلعة،سعر",1,"1, 1"
الجهاز هو الصراحة مش جهاز هي قلم فيه راس تلف وتتغير القطع,الجهاز,-1,0
مكينة رائعة وخفيفة الوزن وصغيرة الحجم لا تأخذ حيز كبير ويمكن وضعها في شنطة أدوات الحلاقة بكل سهولة,"مكينة،الوزن",1,"1, 1"
سهلة الاستخدام وسريعة المنتج في غاية الروعخ,"الاستخدام،المنتج",1,"1, 1"
السلعة سهلة الاستخدام   ولكن لا تعمل علي التيار الكهربي مباشرة,السلعة,1,1
هي ماكينة تنعيم بعد الحلاقة وليست ماكينة حلاقة أرجو التنبه لذلك,,0,
لم استخدمه فترة كافية للتعرف على السلبيات ان كانت موجودة,,-1,
"المنتج تم وصفة لي من مركز الدكتور سيركان ايجن لزراعة الشعر في تركيا . وانا استخدمه للشهر السادس حاليا , يعتبر مساعد فعال لنمو الشعر بعد عملية الزراعة , يضاعف  نتائج الزراعة الى اكثر من 90%, الرغوة نتائجها افضل من البخاخات والمحاليل الاخرى ..",المنتج,1,1
جميلة جدا وعملية ويوجد بداخل العلبة كتيب تعليمات الاستخدام باللغة العربية,,1,
منتج رائع وذو فاعلية ..,منتج,1,1
المنتج عبارة عن شامبو بس بصراحه..,المنتج,1,0
بلسم مفيد للشعر,بلسم,1,1
فكرة جديدة والوان أكثر من رائعه,"فكرة،الوان",1,"1, 1"
ممتاز ونتائجه سريعه و يستخدم مرتين فى اليوم  و نتيجته ظهرت خلال اسبوعين فقط و ساعد على ايقاف تساقط الشعر,,1,
انصح التعامل مع البائع,,1,
جيدة جدا وانوي تجربة الوان اخرى مستقبلا,,1,
والله وحده عندها البعيد عنكم عندها سرطان الله يشفيها استخدمت سان برست واستفادت بشكل ممتاز  والله هي تقول طلع لها شعر  قسم هي ماهي مصدقة,,1,
رائعة .. تعطي جاذبية للون الشعر .. أحببتهااااا كثيراً  وبسعررر رائع  جداً,سعر,1,1
السعر مناسب جدا نسبة للكمية,السعر,1,1
بامكاني ان اضيفه الى كريمات الترطيب وال حمامات الزيت لزيادة فعاليتها,,1,
جوده رائعه جدا .. مظهر انيق,"جوده،مظهر",1,"1, 1"
رائعه وسرعة التوصيل هي الاروع,سرعة التوصيل,1,1
الحقيبة في الواقع . أجمل من الصورة المعروضة,الحقيبة,1,1
جزاك الله خير Malik الله يجعله في ميزان حسناتك وشكراً لأمانتك انصح بالتعامل معه والتوصيل لا يعتبر متأخر لأنه في حالة الطلب من مواقع أخرى فإن الطلب يصل من اسبوعين لشهر,,1,
جيده جدا وخفيفة الوزن وانيقة الشكل وسهلت لاستخدام,"الشكل،لاستخدام",1,"1, 1"
ممتاز يوقف التساقط ويطول حل جميع مشاكل شعر,,1,
فظيييع يوقف التساقط و يطول و ينعم و يقوي .. واحلا شي مافيه ريحة .. و يروح بسرعة مع الغسل مو مثل بعض الزيوت اسبوعين تقعد في الشعر ..,,1,
سلعه جيده,سلعه,1,1
جميل لاكن لو ان الوانه كانت قويه لكان اجمل,الوانه,1,0
الكريمات جيدة جداً وجميلة وانصح الجميع بها وهي لاتسبب خشونه لشعر واوالوانها زاهية تماما ورائعة لمناسبات والاعياد,"الكريمات،الوان",1,"1,1"
الفيتامينات ماره ممتازه وعن تجربه شخصيه تنعم الشعر,الفيتامينات,1,1
سرعة شحن الحقيبة والاهتمام بها انصح بالتعامل مع البائع شكر خاص لدوت كوم الاهتمام بتوصيل السلعة دون الحاجة لشركات الشحن,,1,
الى االان لم ارى اي نتيجه,,1,
المنتج فعال جدا للصلع وتساقط الشعر,المنتج,1,1
رخيصة ويمكن ربطها بأي جهاز عن طريق البلوتوث. يوجد تشويش في السماعه و البطارية تفرغ بسرعه تحتاج لشحنها اكثر من مرة في اليوم.,,-1,
سماعات قوية عند وضعها في كلتا الأذنين تنسى ما حولك! لذا لا أنصح بوضعها معاً أثناء القيادة.,سماعات,1,1
علبة المنتج مفتوحة مما يثير الشك بانها قد استخدمت من قبل,,-1,
جيده جدا وتتمتع بنقاء الصوت  ومميزه نظير الاقتران السريع والجوده العاليه  اتمنى توفيرها بشكل دئم  حتى ترتقي الي المستواء الامامول وشكرا,,1,
حلوه مره,,1,
لا انصح احد باستخدام هذه السماعه مطلقا,السماعه,-1,-1
اشتريت كالايدنج KE- 400 ولم يكن لدي مشاكل في الشرا فكل شي مضى بسلاسه,,-1,
السلعة غير جيدة ولا انصح احد بشرائها,السلعة,-1,-1
تمام,,1,
الجهاز لن اكرر شراء مثله,الجهاز,-1,-1
السماعة تم تجربتها لمدة 9 ساعات,,0,
جيدة جدا......................... وانصح في شرائها ان وجدت.....وهي حسب المواصفات التي تم ذكرها..............................,,1,
"السماعة سيئة من ناحية البطارية،لا تدوم وقت كافي حتى تعيدها إلى الشحن،ولهذا لا أنصح بإقتنائها،وأيضا هي لا تدعم البلوتوث فقط شغاله على الكومبيوتر،لا تستطيع تشعيلها على الجوالات او غيرها،وأعتقد أن السعر مبالغ فيه وشكل كبير","السماعة،البطارية،السعر",-1,"-1, -1, -1"
سعره مرتفع للغاية,سعر,-1,-1
- إيجابيات و سلبيات كوكو سماعة الهاتف لون احمر ريترو  3.5ملمتر,,1,
منتج جيد وجودة وصناعة المنتج جدا ممتازه,"منتج،صناعة",1,"1, 1"
للاسف مكتوب انه الشحن يدوم الى عشر ساعات وقت الاستخدام وانا ما طولت معاي اكثر من  ٥ ساعات مع العلم اني ما استخدمها الا بالسياره وقت انزل اطفيها والشئ الثاني مكتوب على الكرتون انها تشبك على جهازين بوقت واحد وللاسف مو صحيح هالكلام وبعد الاستخدام تحسفت اني شريتها بهالسعر لو اني ماخذ العاديه افضل لانه شحنها يطول ونأسف على الاطاله,,-1,
المنتج ررروعه عن جد,المنتج,1,1
سلعة رائعه  وجديدة لكن لم تضع قائمة الالوان التي عندك لكي يقوم الزبون باختيار اللون المناسب له,سلعة,1,1
صوتها كويس ولاكن وصلتها صغيرة ولا تتحمل اقل شئ يقطعها و يبقة السماعة ما لها فائدة,"صوت،وصلة",1,"1, -1"
اسماعه نوع عادي جدا وتودي الغرض,سماعه,0,0
أنيقة جدا وعملية جدا من حيث الشحن وامكانية اضافة ذاكرة وصوتها جميل,صوت,1,1
انصح باقتنائها,,1,
الشركة غير معروفة وهي X.cell,الشركة,-1,-1
السماعتين شغالة والصوت تمام. لكن المشكلة بعد تجربتها وتشغيل مقاطع صوتية لكن الماء لا تعمل او تتراقص .,السماعتين,-1,1
المنتج رائع جداً,المنتج,1,1
خفيفه وانيقه,,1,
"هذه السلعة رائعة وتفاجأت بوصولها في وقت وجيز،وكانت طبقاً لما كنت اتمناه",السلعة,1,1
المنتجات ممتازه ومريحه للاستخدام الطويل,المنتجات,1,1
نوعيتها سيئه جدا جدا,نوع,-1,-1
"سررت مع هذه السماعة , بل نظام مشغل الأصوات متكامل بوجود راديو FM ومشغل ملفات الأصوات من ذاكرة Micro SD و كسماعة لاسلكية للأجهزة التي تدعم البلوتوث وكسماعة سلكية عبر مدخل ال AUX . وله مخرج سماعة آخر لتوصيله لأنظمة صوت أخرى .",,1,
يعطيك العافيه ويبارك لك في تجارتك السماعه ممتازه مثل الوصف بضبط ووصلت بسرعه . اكيد بشتري منك ثاني,السماعه,1,1
"هذي السماعات من اروع السماعات التي عرفتها،واتمنى من الاخوة في متجر LEENO فحص احد السماعات لديهم للتاكد من موضوع المسافة.",سماعات,1,1
سماعات جيدة,سماعات,1,1
الجوده رديه جداااااااا,الجودة,-1,-1
سلعة رائعة وصوت نقي,"سلعة،صوت",1,"1, 1"
والله رائعه جدا وانا أنصح بها,,1,
لاتصلح للاسعمال مع الجوالات,,-1,
مثيلاتها من سماعات الشركات الصينية صوتها افضل ولايتقطع الصوت عند الحركة - كما ان البائع قد اخذ الشاحن وكأن السلعة مستعملة,السلعة ,-1,-1
انها عمليه وجيدم وسهلة في الستقبال والاتصال,,0,
تعمل بكفاءة,,1,
لا انصح بشراءها,,-1,
من باب الامانة المنتج لايستحق هذا المبلغ فبعد الاستخدام تبين لي رداءة المنتج...,المنتج,-1,-1
وصلت السلعة خلال اسبوع و بحالة جيدة . الصفات المذكورة للمنتج جميعها صحيحة . فعلا بعد استخدام المساج بعد ساعات العمل الطويلة أصبحت اشعر براحة ولم أعد أعاني كثيراً من الام باطن القدم,السلعة,1,1
الباع سي جداً وعندهم عدم التزام بالشروط وسوق كوم ليس له اي رأي,الباع,-1,-1
انصح كل من يرد ثلاثة في واحد ياخذ هذا المنتج,المنتج,1,1
انا اشتريت ثنتين من الفتله واحد من الشواحن ما  كان يعمل.,,1,
احببت هذه السللعه كثيرا ممتازه,السللعه,1,1
تقشير خلايا الجلد الميتة خلال اسبوعين ممتازة جدا,خلايا الجلد,1,1
اشتريت المنتج وليس له اى فائده عمليه ولا ينظف لان جودته رديئه ولا يستحق المبلغ المدفوع ولا انصح احد بشرائه .,"المنتج،المبلغ",-1,"-1, -1"
منتج سيء بمعنى الكلمة اشتريت 3 لثلاث اشخاص و جميعها تقطعت خيوطها عند اول استخدام,"منتج،خيوط",-1,"-1 , -1"
ممتاز جدآ استخدمته من قبل سوق دت كوم قبل عشره ايام ولاحضت كثير من الفرق ..يبدو الشخص عندما يرتديه انيق جدآ  يخفي الكرش,الشخص,1,1
سيئة,,1,
جهاز ممتاز فبه كثير من الامور التي بحتاجها الشخص وهذا المنتج دقيق في اعطاء النتيجة وعمليا فهو سهل الاستخدام ولن العيب الذي فبه انه لا يوجد حقيبة لوضعه في داخلها .,المنتج,1,1
لا أنصح به على الإطلاق,,-1,
هل يوجد على المنتج عرض حبوب التخسيس البريطانيه المعروفه عالميا الكابسبليكس Capsiplex بلفلفل الاحمر,,-1,
جيد... لكن في نقص بالادوات عند الاستلام,,0,
"ماشاء الله تبارك الله السلعه ممتازه و أنصح بشرائها كمجرب لها, أفادتني كثيير بعدة أموور و ربي يسعدك ماقصرت",السلعه,1,1
لا انصح بها .. انصح بشراء مخدة رقبة عادية بدون مساج او اله بداخلها لانه غير مريح و غير مناسب ..,,-1,
السلعه مصنعه من خامات رديئه و تلفت في فتره قصيره جداً .. من الأفضل ان يكون حزام التخسيس مصنع من خامات افضل ليتحمل التدريبات او حتي الحركه العاديه,السلعه,-1,-1
بائع محترم انصح بالتعامل معه دقة في المواعيد وتغليف جيد,بائع,1,1
لاتصلح للبالغين ولذلك لايمكن الحكم على فعاليتها من عدمه الا بعد الاستخدام وهي لاتصلح للاستخدام من قبل الكبار لغر الحجم الذي يتم توريده,,-1,
جيد وممتعه وسهلة الاستخدام وحملهاا خفيفه,,1,
هذه السلعة لا غنى عنها في المنزل بالنسبة للسيدات,السلعة,1,1
ليست جيده ابدا لاتساعد علئ الاسترخاء الصوت الي تصدره مزعج وماحبيتها للأمانه ليس ذم في سلعك اخي ولاكن ليست لها فايده ابدا,,-1,
فى مادة بتسود مع العرق لما تلزق على الرجل 6 ساعات اكيد الرجل هتعرق وانا حطت علي اللزقة ماية اسودت برضوا,,-1,
سئ جدا جدا المعلن  غير صادق,المعلن,-1,-1
أولاً : كرتون الجهاز مفكوك وليس بتغليف المصنع .,كرتون الجهاز,-1,-1
يريح الام العضلات والظهر,,1,
