Column1,Sentences,Aspects,Sentences Sentiment,Aspects Sentiment
452,"الشعاب المرجانية رائعة و الغطس 
لشعاب المرجانية رائعة و الغطس روعة و الماء رائع و قريب من خليج نعمة قريب من قلب شرم الشيخ لشعاب المرجانية رائعة و الغطس روعة و الماء رائع و قريب من خليج نعمة قريب من قلب شرم الشيخ
","الشعاب المرجانية، الغطس، الماء، شعاب المرجانية، الغطس، الماء",1,"1,1,1,1,1,1"
453,"فندق اكثر من رائع 
هذه هى الزيارة الاولى لى لفندق هيلتون شاركس باى ريزورت انه فندق يمتاز بالراحه والهدوء والعاملين فى الفندق يمتزون بالوجه البشوش وفريق الانيميشن رائع ويبذل مجهود رائع لاسعادنا وبالاخص أيه وميدو والبوفيه رائع والاكل جميل والعاملين فى المطعم ايضاً على مستوى عالى وبالاخص مجدى متعاون جداً
","فندق، الراحه، الهدوء، العاملين فى الفندق، فريق الانيميشن، مجهود، البوفيه، الاكل، العاملين، مجدى",1,"1,1,1,1,1,1,1,1,1,1"
454,"ممتاز 
مكان ممتاز لقضاء عطله رومانسيه ومشاهده العديد من المناظر الطبيعيه الخلابه وخصوصا الاسماك الملونه بالخليج والشعاب المرجانيه اكثر من رائعه
","مكان، المناظر الطبيعيه، الاسماك، الشعاب المرجانيه",1,"1,1,1,1"
455,"مكان مناسب للتسوق 
السوق القديم فى شرم الشيخ أنسب مكان لشراء التذكارات والهدايا والتسوق حيث الاسعار مناسبه جدا والمحلات كثيره وايضا المطاعم هناك جيده واسعارها معقوله وكذلك الكافيهات هو مكان مناسب لكل شئ بصورة عمليه
","مكان، السوق القديم، الاسعار، المحلات، المطاعم، اسعارها، الكافيهات، مكان",1,"1,1,1,1,1,1,1,1"
457,"ممتاز 
مكان ممتاز للتسوق وشراء التذكارات واسعار مناسبه جداااا واماكن للطعام والكافيهات بجوده جيده واسعار جيده
","مكان، اسعار، جوده، اسعار",1,"1,1,1,1"
458,"لطيفة جدا 
تمتاز بقربها من وسط المدينة وقربها من السوق القديم وقربها من خليج نعمه كما تمتاز بشعاب مرجانية غاية في الروعه وحفلات الف ليله وليه الرائعه كما ان وجود شارع الميركاتو جيد جدا ووجود الكثر من السبر ماركت
","قربها من وسط المدينة، قربها من السوق القديم، قربها من خليج نعمه، شعاب مرجانية، حفلات الف ليله وليه، وجود شارع الميركاتو، السبر ماركت",1,"1,1,1,1,1,1,1"
459,"منطقه ساحره 
الشواطئ بها ترى جميع انواع الاسماك باشكالها الخلابه وهى موجوده فى كل مكان على الشاطئ اى مكان تقف على شاطئ هذه المنطقه ترى كميات من الاسماك تسبح من حولك بالاضافه اللى الجبال والشعب المرجانيه الكثيره جدا فى هذه المنطقه
","منطقة، الشواطئ، اشكالها، الشعب المرجانيه",1,"1,1,1,1"
460,"منطقه جميله 
بها الكثرير من انواع الترفيه مثلا ركوب الغواصه والاستمتاع بمناظر لم تشاهدها من قبل ويوجد بها مجموعه مطاعم عالميه كما يوجد بها عرض الدولفين وهذا من اجمل الاماكن التى رايتها فى شرم ويوجد بها ايضا مدينه الف ليله وليه التى لايمكن ان تذهب الى شرم الشيخ دون ان تذهب اليها
","منطقه، مطاعم",1,"1,1"
461,"مكان حميم، خدمات لا تحصى، أرخص أسعار في شرم الشيخ 
لا تفوت فرصة زيارة هضبة أم السيد بشرم الشيخ، حيث ستجد فنادق بكل الأسعار، وفنادق تبدأ من 50 دولارا فقط في الليلة! كما ستزور ألف ليلة وليلة وتستمتع بعروض فنية من التراث الشعبي والفرعوني المصري، ولعلك تعرج على السوق الشعبي القديم الذي يتعامل معه العاملين بالفنادق والمغتربن المقيمين بالمدينة، ففيه أسعار شعبية غير سياحية.
","مكان، خدمات، أسعار، هضبة أم السيد، أسعار",1,"1,1,1,1,1"
462,"تسمى هذه المنطقة بالهضبة 
من اجمل المواقع بشرم الشيخ وكل الفنادق والمنتجعات التى توجد بهذه المنطقة تتميز بشواطىء رائعة الجمال حيث انها تتميز بالارتفاع عن سطح البحر بحوالى 50 متر مما يجعل المنظر على البحر رائع جدا
","الهضبة، شواطئ، الارتفاع، المنظر على البحر",1,"1,1,1,1"
465,"لا جديد 
انزل سنويا فى هلنان مارينا شرم واكره التمشية ليلا بخليج نعمه وامضى 99% من اجازتى بالفندق
العديد من الافراد يضايقونك ويستقفونك دائما لجذبك للاشتراك معهم فى سفارى او قضاء سهرة
وبعد ابتسامات مصطنعه منك عند الرد بشكرا ستبدأ فى فقدان اعصابك وستسب احدهم حتما
اما شرطة السياحة فلا تفعل شيئا وتكتفى بالتجاهل
",شرطة السياحة,1,-1
466,"للاسف 
مكان نابض يزيد من جمال شرم ولكن يوجد فرق في تدني المستوى العام
لم يكن كما كان بعد افتتاح سوهو سكوير(لايوجد مقارنة)
المنطقة الخلفية للمشى اجمل من الامامية
","مكان، المستوى العام، المنطقة الخلفية للمشى ",-1,"1,-1,1"
467,"الممشي 
مكان نابض بالحيويه يزيد من جمال شرم مطاعم وكافتربات متنوعه ديسكوهات متعدده مغنين لايف فى فنادق على البحر. تمشيه جميله عند زياره شرم لابد من زياره الممشي السياحي
","مكان، مطاعم، وكافتربات، ديسكوهات، تمشيه",1,"1,1,1,1,1"
468,"نصيحه 
المكان جميل جدا وكل شئ على ما يرام لكن بصراحه العاملين فى المحلات والبازارات و البارات
بيتعاملون مع الزبائن معامله سيئه جدا من الشد والجذب وعلو الصوت وهذا يؤثر سلبا على الجميع
احذرو معظم الزبائن تذهب الى SOHO لانهم وجدو راحتهم هناك وهذا شئ يرجع للعاملين هناك
بالاسلوب الراقى فى التعامل
","المكان، العاملين، معامله، بالاسلوب",-1,"1,-1,-1,1"
469,"ممتازززززززززز 
لا يمكن ان تذهب الى شم الشيخ بدون الذهاب الى خليج نعمه .. ببساطه خليج نعمه هو القلب النابض لشرم الشيخ
",خليج نعمه,1,1
470,"خليج نعمه 
المكان المفضل من بعد الغروب الي ساعات الصباح الأولى بالنسبة لغلب السوح اما انا فأحبذا العودة للفندق بعد الساعة الحادية عشر مساء
ممتع للتجول والجلوس على المقاهي والمطاعم بكافة انواعها وأفضلانواع المطاعم هي المأكولات البحرية والأيطالية وبحرة جميل وقد سبحت فية عندما كنت بالسابق اسكن في ماريوت اما اخر زيارة لم تسنح الفرصة لاني كنت مقيم في فندق فور سيزن
","خليج نعمه، للتجول، الجلوس على المقاهي والمطاعم، المأكولات البحرية والأيطالية، بحرة",1,"1,1,1,1"
471,"لابد من زيارته 
لابد من زياره خليج نعمه فى كل مره نزهب فيها الى شرم الشيخ هذا المكان اللذى يمتزك بجميع جنسيات العالم والسهر والمرح حتى بدايات الصباح الجديد
",خليج نعمه,1,1
472,"مجموعة من المطاعم و المقاهي الحلوة 
مكان جميل في وسط شرم الشيخ جيد للخروج ليلا و به مجموعة من المطاعم و المقاهي و الديسكوهات و تسطيع ايضا شراء هدايا للتذكار من هناك
مكان جميل و انا احبه
","المقاهي، مكان، مكان",1,"1,1,1"
473,"مكان رائع 
المكان خليج نعمة رائع وبه خروجات جميلة جدا والفندق المستخدم هو هالومي شرم وقمنا بعمل سفاري ورحلة غطس رائعة
","مكان، خليج نعمة، خروجات، رحلة غطس",1,"1,1,1,1"
474,"عجيبه 
عجيبة هذة الاماكن وان لم يعرفها الكثير من الناس خاصة فى مصر-زرتها وانا فى نويبع -وادى واتير-اماكن جميلة المنظروطبيعة تحكى تاريخ جيولوجي -تنسى الدنيا وتشكر الله العلى القدير
",اماكن,1,1
475,"
عين حدره
واحة قريبة من الطريق و بره الدنيا..
مكان بره المنافسه ..
أنا عملت الرحله دي فوق الـ 21 مليار مره!
المكان ده بركه :)
","عين حدره، مكان، المكان",1,"0,1,1"
476,"أحلام 
اجمل الايام كانت هناك و ذكريات لا تنسى مكان رائع يجمع الكل فى حركه و ضحك وحياه
","الايام، ذكريات، مكان",1,"1,1,1"
478,"
ما اروع شرم الشيخ والمعالم السياحية بها ومنها النافورة الموسيقية نافورة رائعة ترقص مياهها على أنغام أغانى مصرية خالدة و تتراقص ألوان الإضاءة على الإيقاع.وقرية شركس باى قرية جميلة فعلا ولكن ينقصها الاهتمام بالزوار
","شرم الشيخ، المعالم السياحية، النافورة الموسيقية، قرية شركس باى، الاهتمام بالزوار",1,"1,1,1,1,-1"
479,"ظريفه 
لطيفة بس لو انت نازل في نعمة او الهضبة المشاوار هايبقي مكلف زيادة موجود اكبر منها في مول برج العرب وفي بورتو كايرو بس و في جروب وهاتروح اماكن التصوير هناك جميلة جدا عيش يا مان
","المشاوار، اماكن التصوير",1,"-1,1"
480,"نافورة سوهو الراقصة 
نافورة رائعة ترقص مياهها على أنغام أغانى مصرية خالدة و تتراقص ألوان الإضاءة على الإيقاع. العيب الوحيد هو تناثر الماء خارج النافورة
","نافورة سوهو الراقصة، تناثر الماء خارج النافورة",1,"1,-1"
481,"جديد 
بغض النظر عن المكان شديد الزحام فى هذا الوقت الا انه مكان جديد يستحق ان تزورة وتستمع بمنظر المياه وهى ترقص على الأنغام الموسيقيه العالميه والمصريه
","المكان، مكان، منظر المياه",1,"-1,1,1"
482,"النافوره 
نافوره راقصه موسيقيه بالوان جذابه رقص وفرحه وانغام شرقيه جميله بسمه على وحوه الناس طوال مده تشغيلها صور تذكاريه مميزه
","نافوره، الوان، انغام شرقيه، صور تذكاريه",1,"1,1,1,1"
483,"جميله جدا 
متعة الجمال للمياه بالوان الحياه مع الموسيقه الغربيه الهادئه المريحه والالفه بين الناس
مع كثرة مناطق التصوير التى لا تنساها
","مياه، الموسيقه الغربيه ",1,"1,1"
484,"
النافورة الراقصة بمنطقة سافوي
جميلة تعمل كل ساعة لمدة ربع ساعة
و اشكال و الوان تحفة
لابد ان تختبروا زيارة سافوي و خليج نعمة
","النافورة الراقصة بمنطقة سافوي، اشكال، الوان",1,"1,1,1"
485,"رائعة 
من اجمل الاشياء فى شرم الشيخ النافورة الراقصة فى سوهو فهى من المعالم التى تبعث على البهجة و من الاشياء التى سوف اتذكرها بالتاكيد
",النافورة الراقصة فى سوهو,1,1
486,"موقع رائع ورومنسي 
تقع النافورة الراقصة في سوهو سكوير مكان رائع جدآ رومنسي ويوجد عدة مطاعم ومقاهي وعندهم احلى شيشة معسل بالاضافة بزارات خان الخليلي ومحلات الهدايا والتسوق ممتاز جدآ جدآ
","موقع، مكان، شيشة معسل، التسوق",1,"1,1,1,1"
487,"الشاطيء رائع ولكنه يحتاج الى النظافة 
شاطيء نعمة ممتاز ورماله جيدة ولكنه يحتاج إلى نظافة القاع القريبة من الشاطيء ، لقد لا حظت الكثير من قطع المواسير الحديد في القاع والبلاستيك تطفو فوق المياه ، خصوصا تلك المنطقة القريبة من الهيلتون ، كما لا حظت انهم تركوا بعض الصخور الكبيرة التي تحد من حركة السباحة هناك وقد تؤدي الى إصابة من لا يعرف تواجدها ، هم يريدون احياء الشعب المرجانية ولكنهم غير قادرين على ذلك بفعل كثافة المستخدمين الشاطيء . 
","الشاطئ، النظافة، شاطئ نعمة، نظافة القاع القريبة من الشاطيء",1,"1,-1,1,-1"
488,"مكان جميل اوي 
مكان جدا جميل والناس الي هناك جدا اخلاقها عاليه وبيساعدو اوي
وكبير وكان عندهم خدمة الخصم لنزلاء سافوي
","مكان، الناس",1,"1,1"
489,"
المكان جميل يقع بجانب british House فى الطابق الثانى مكان مناسب لتقضية وقت ممتع انت والأسرة
يقع فى سوهو مكان يستحق الزيارة
","المكان، مكان، وقت، مكان",1,"1,1,1,1"
490,"رائع 
من افضل الاشياء اللتى من الممكن ان تفعلها وانت فى سوهو سكوير .. الصاله جميله ونظيفه وحديثه واسعر مناسب وطاقم العمل ودود
","الصاله، اسعر، طاقم العمل",1,"1,1,1"
491,"ممتاز 
سوهو سكوير رائع وجميل ومن لايذهب اليه كأنه لم يذهب شرم الشيخ يوجد به التسوق والمتعه والكفيهات واكثر ما اعجبني النافوره الراقصه مع وجود التماثيل الرائعه علي جانبي الطريق
والمطاعم والايس رنك اكثر من رائع وانصح زائر شرم الشيخ بزياره سوهو سكوير
","سوهو سكوير، النافوره الراقصه، وجود التماثيل، المطاعم، الايس رنك، زياره سوهو سكوير

",1,"1,1,1,1,1,1"
492,"مكان رائع 
تم حجز رحلة لجزيرة تيران عن طريق مكتب ينظم رحلات سياحية رائعه وأسم هذا المكتب (( صن فن )) وهو من المكاتب المميزة والمعروفة بخليج نعمه وكان سعر الشخص الواحد 150 جنيه ويشمل  وجبة الغداء وكان مدة الرحلة 5 ساعات وعدد التوقفات ثلاث توقفات وقفة للغطس ووقفة  لمشاهدة الشعب المرجانية ومشاهدة السفينة الغارقة ووقفة لتناول وجبة الغداء  المكان فعلا روعه لا يفوتكم ابدا.
","مكان، رحلات، صن فن، المكان",1,"1,1,1,1"
493,"نافوره خياليه وساحره 
بجد حاجه ساحره تخليق واقف امامها مش عايز تتحرك من روعتها
تخيل نافوره راقصه على اغانى يتم تشغيلها وكل اغنيه برقصه مختلفه والوان للمياه ساحره بجد
","نافوره، الوان للمياه",1,"1,1"
495,"جو لطيف 
النافورة فكرة جميلة وممتعة وتجذب كثير من رواد الفنادق المجاورة لها والمنتجعات الاخرى ولقد تمتعت بالجو اللطيف والموسيقى والنافورة والجو العام للمكان واخذت الصور التذكارية
","جو، النافورة، الجو، الموسيقى، النافورة، الجو العام للمكان",1,"1,1,1,1,1,1"
496,"رائعه 
انها جميله ومبهره وممتعه مع الموسيقى الجميله
والالوان الرائعه حقا انها اجمل الاشياء فى شرم الشيخ
اذهب دائما الى SOHO لمشاهدتها
","الموسيقى، الالوان",1,"1,1"
498,"يجب ان يزورها كل من يدخل شرم الشيخ 
نافوره رائعه و متجدده و كل سنه نجد بها الجديد لذلك لا نمل ابدا من مشاهدتها فهى تساعد على السعاده من حيث الاغانى التى تعرضها و منظر المياه و هى ترقص على هذه الاغانى
",نافوره,1,1
499,"تذهل الأعين 
تقع النافورة الموسيقية داخل منتجع سافوي وهو مكان متميز تستطيع أن تقضي اليوم به ما بين ألعاب وكافيهات والنافورة الراقصة الموسيقية والتي تبهرك بعرضها الجميل جدا
","منتجع سافوي، عرضها",1,"1,1"
500,"جميله 
عرض جميل للنافوره الراقصه بمنطقه سوهو سكوير الجميله جداااا وعرض النافوره رائع خصوصا على موسيقى """" زوربه """"
","عرض، منطقه سوهو سكوير، عرض النافوره ",1,"1,1,1"
501,"رائعة جدا و الجو كان جميل جدا بالاضافة للموسيقى مع النافورة 
غالبا تقصد النافورة الموسيقية الموجودة فى سو اسكوير ...الموسيقى مع النافورة فى غاية الجمال وكانت الناس فى حالة انسجام مع الموسيقى
","الجو، الموسيقى مع النافورة",1,"1,1"
502,"اكثر من رائعه 
نافوره جميله جدا وانصح كل من يذهب الي شرم الشيخ ان يقوم بزيارتها لانها ممتعه كما يقوم بزيارة غرفه الجليد بجوار النافوره
",نافوره,1,1
503,"النافورة الموسيقية شرم الشيخ 
معلم جديد ممتاز لوقت السهرة نافورة رائعة الالوان والاضواء و احيانا النيران وجميلة الالحان .. تعمل كل ساعة ب
","النافورة الموسيقية شرم الشيخ، معلم، نافورة، الالحان",1,"1,1,1,1"
504,"رائعة 
نافورة رائعة الالوان والاضواء و احيانا النيران وجميلة الالحان .. تعمل كل ساعة بالتمام والكمال وحنى منتصف الليل
","نافورة، الالوان، الاضواء، الالحان",1,"1,1,1,1"
505,"رائعة ومدهشة 
رائعة يجب زيارتها لا تفوتوها لا نسوا كاميرات الفيديو للتصوير والمكان سوهو جميل بشكل عام ويوجد مواصلات من سوهو للفندق مجانية فقط اتصلوا معهم لتوصيلكم
","المكان سوهو، مواصلات",1,"1,1"
506,"مسلية وتجدها في ساحة سوهو الخاصة بفندق سافوي 
الساحة جميلة والنافورة مسلية وتوجد بها الكثير من عناصر الترفيه مثل صالة التحلق على الثلج وصالة للبولنج وعروض مسرحية ومقاهي وبعض المحلات
","الساحة، النافورة",1,"1,1"
507,"جميلة جدا 
تقع فى سوهو سكوير وهى رائعة ولكنها تعمل لمدة ربع ساعة فقط من 12 حتى 12:15 مساءا وذلك بعد انتهاء فقرات مسرح سوهو
",سوهو سكوير,1,1
508,"واو 
عمل متميز ولكن احترس فالنغمات تعلو مع المياه تدريجياً حتي تجد نفسك مبتلا وانت لا تدري
انها العمل الفريد في ممر سوهو .......... استمتع
","عمل، مبتلا",1,"1,-1"
509,"رحله لن اعيدها 
سمعت الكثير عن النافوره الموسيقيه شرم الشيخ وعندما ذهبت اليها لم أجد الدهشه التي كنت اتوقعها وانما زيارة عاديه جدا واجمل مافيها تجمع الناس حول هذه النافوره التي أصبح الأن وجودها ليس بغريب أمام نافورة دبي ولذلك لم استغرب وعذرا على صراحتي ولكن هذا ما احسستفيه وشكرا
","النافوره الموسيقيه شرم الشيخ، زيارة",-1,"1,-1"
510,"
كنا قد اعلمنا ان الرحلة تستغرق نصف ساعة فوق الماء وساعة ونصف تحتها هذا بالطبع محض خيال هناك رجل يقوم بتصوير الرحلة بالفيديو ثم فى النهاية يعرض عليك ان يطبع لك الشريط على اسطوانة فى مقابل 100 جنية ستجد انة قام بتصوير نصف ساعة وهى مدة الرحلى فى النهاية منظر الأسماك والشعاب المرجانية جميل يستحق المشاهدة
",منظر الأسماك والشعاب المرجانية,1,1
511,"مكان رائع 
برنامج 5 ب 1 , المسار كان كثير حلو الطاقم كان رائع جدا وادخل كثير جو للرحلة, الضيافة كانت حلوة بشكل عام كانت رحلة شيقة وبنصح فيها الجميع...
وبالذات الشرح عن النجوم باخر المسار , كان كثير حلو
وشكر كبير لكل الطاقم ل ابراهيم . صبري , حكيم مصطفى وكل الطاقم اللرائع
","مكان، المسار، الطاقم، الضيافة، رحلة، الشرح عن النجوم باخر المسار، الطاقم",1,"1,1,1,1,1,1,1"
512,"احتراف 
لقد استمتعت ببعض الزيارات معهم , اسعارهم جيده و الخدمة رائعة , استمتعت بالغواصة و سفينة سينا دريم كانت تجربة مميزة جداً , وعندما اردت ان الغى حجز الدولفين تم إلغاؤه وأعادوا إلى المال ببساطة
","الزيارات، اسعارهم، الخدمة،  الغواصة، سفينة سينا دريم ",1,"1,1,1,1,1"
513,"لابد من زياراتها 
كنيسة جميلة التصميم ومنظمة ونظيفة ولابد من زيارتها للمهتمين بالفنون القبطية حيث يوجد جداريات كثير مرسومة بشكل رائع ومليئة بالفنون القبطية وتكون فرصة للمهتمين بالجو الروحة والصلاة
","كنيسة، جداريات",1,"1,1"
514,"كنيسة رائعة 
من أجمل 10 كنائس حديثة علي مستوي العالم. تتميز بصور تحكي الكتاب المقدس كله بعهديه في اطار فني اشبه بالمتاحف كما تتميز بمساحة مميزة للراحة مع مكتبة و بوفيه متميز
","كنيسة، صور تحكي الكتاب المقدس، اطار، مساحة، بوفيه",1,"1,1,1,1,1"
515,"جيد 
المكان جميل جدا وبه المتعه والبهجه والفرح والرقص واسعاده الجميله المعبره عن روعة المكان والمشروبات الطازجه والممتعه
","المكان، المكان، المشروبات",1,"1,1,1"
516,"المكان وجميل ورائع ومسلي جدا 
المكان وجميل ورائع ومسلي جدا، فيه كل الالعاب المائية التي يحبها جميع الاعمار ومناسبة لهم، ولكن يوجد ملاحظة لدي لماذا يأخذون من الشخص نقود عند وضع اماناته في خزانة الامانات، فهذه الميزة يجب ان تكون مجانا مع تذكرة الدخول، وشكرا
","المكان، المكان، الالعاب المائية",1,"1,1,1"
517,"رحله رائعه 
نزلنا بالاكوا بارك وكانت رحله خياليه من كل شئ مكان رائع استاف هايل وشباب رد سي دايفر رائعين أيضاً عملوا لينا مجموعه من الرحلات الممتازة ( مركب لتيران ايلاند، سفاري،دولفين ، ألعاب مائيه) رحله جميله
","رحله، الاكوا بارك، رحله، مكان، استاف، شباب رد سي دايفر، الرحلات، رحله",1,"1,1,1,1,1,1,1,1"
518,"اجمل أكواد بارك 
ذهبت انا و الاطفال و زوجتك و الكل استمتع مكان الاطفال جميل و كبير و توجد قناة لكانوى وبسيين أمواج بالاضافة الى العاب الكبار الجميلة و المتنوعة و البارك كبير جداً
","مكان، العاب الكبار، البارك",-1,"1,1,1"
519,"اروع ما رايت 
اجمل شي في شرم الشيخ هو اكوا بارك .. وقسمآ بالله لو علي بروح كل رحلي عليها هي اجمل شي لا يمل فيها .. استمتاع وجمال رهيب
ياريت عنا بالاردن مثلها ..
","اكوا بارك، جمال",1,"1,1"
520,"أنا جد سعيد بزيارة 
قمت بالدخول إلى الموقع و أعجبني جدا ,
الحمامات أفضل ما في الأمر
رائعة من ناحية العطر المستعمل
بالإضافة إلى الطعام االشهي
","زيارة، الموقع، الحمامات، العطر المستعمل، الطعام االشهي

",1,"1,1,1,1,1"
522,"مكان جميل 
البحر جميل والقرية كبيرة مفكرتش اخرج برة خالص والاولاد استمتعو جدا ومدينة الالعاب ممتازة والديسكو في اليل هايل
","مكان، البحر، القرية، مدينة الالعاب، الديسكو في اليل",1,"1,1,1,1,1"
523,"طاقم العمل جميل جداا 
كل شىء جميل وطاقم العمل رائع و متميز فى العروض و فى كل شىء متميزون جدااااا
ولا شيء لم يعجبنى فعلا كل شى مزهل
","طاقم العمل، طاقم العمل، العروض",1,"1,1,1"
524,"منطقه جميله 
هذه المنطقه من اجمل واروع مناطق مصر فهى طقسها جميل جدا وبها مناظر طبيعيه خلابه اود ان اذهب لها ثانيه لجمالها
","منطقه، المنطقه، طقسها، مناظر طبيعيه، جمالها",1,"1,1,1,1,1"
525,"طابا قطعة من الجنة 
ان المكان الذى اذهلنى بجمالة وهدوئة وطبيعتة الخلابة كان بمثابة الفاجئة الغير متوقعة على الاطلاق انة يوجد فى مصر مكان بهذا الجمال الذى انعم الله علية بكل هذا الجمال من رومنسية وهدوء خلاب
","طابا، جمالة، هدوئة، طبيعتة، رومنسية، هدوء",1,"1,1,1,1,1,1"
527,"المتحف المصرى 
هذا المكان يجمع بين قوة الفراعنة فى التصميم والابداع الرائع واللمسات الجمالية فى القطع الاثرية والفنية وسوف تجد المومياء المصرية شاهدة على اسرار الفراعنة الجبارة
","المتحف المصرى، قوة الفراعنة فى التصميم، الابداع الرائع، اللمسات الجمالية فى القطع الاثرية والفنية",1,"1,1,1,1"
528,"اكبر متاحف العالم 
عند دخول هذى المتحف العملاق تنظر لكل ما حولك وياتيك زهول من كل ماتراه من تماثيل ومومياوات وكيفيه التحنيط وكميه الذهب الذى كانو يستعملوه
","المتحف، تماثيل، مومياوات، كيفيه التحنيط، كميه الذهب",1,"1,1,1,1,1"
529,"اجمل متاحف العالم 
عندما تتدخل المتحف تجد به روح جميله وهذا يرجع الى عظمه المكان فلهذا المتحف تاريخ مشرف وايضا يوجد به العديد من القطع الاثريه ابتداء من الدوله القديمه والدوله الوسطى مرورا بالعصر الحديث فلا ننسى ان بالمتحف المصرى يوجد تمثال من اجمل التماثيل الموجوده بالعالم الا وهو تمثال الملك توت عنخ اموووووووووووووون
","المتحف، روح، المكان، تاريخ، التماثيل",1,"1,1,1,1,1"
531,"عجيبة خالدة 
كما يعلم الجميع ان اهرامات الجيزة من عجائب الدنيا وقد حاول الكثير من علماء الاثار الوصول الى سرا من اسرار بنائها ولكن كانوا يعودن ادراجهم دون ان تخبرهم عن اسرارهم
",اهرامات الجيزة,1,1
532,"عظيمة يامصر 
من معالم مصر الجميله والتي تستحق الزيارة
هناك تجد عراقة التاريخ واﻻبداع المعماري الفريد
وهناك تبحث عن السر المكنون في كيفية هذا البناء العظيم
","مصر، معالم مصر، عراقة التاريخ، اﻻبداع المعماري ",1,"1,1,1,1"
533,"
الاهرامات من عجاءب الدنيا تستحق الزياره و التأمل في قدرت البشر في صنع التحف المعمارية في عصر بدائي لا زال العالم الا يومنا هذا يتعجبون من دقة بناءه وضخامته فسبحان الله
","الاهرامات، دقة بناءه، ضخامته",1,"1,1,1"
534,"حارس المحروسة 
**صامد فى وجه الزمن **توالت الحروب وهويشاهد ما يجرى **هو سر من اسرار الاجداد داله على عظمة الحضارة الفرعونية****
",الحضارة الفرعونية,1,1
535,"عظمة التاريخ 
الشاهد على عظمة التاريخ الفرعونى فهناك تشعر بالفخر والعظمه والتعجب وايضا الراحه والاستجمام والاستمتاع من اكثر الاماكن متعه واثارة فزيارة الاهرامات تعد قراءة لتاريخ مصر الفرعونى بكل مايحمل من الغاز واسرار لم يتمكن العلم من حلها بعد
","التاريخ، التاريخ الفرعوى، زيارة الاهرمات",1,"1,1,1"
536,"أهرامات الجيزة 
تقع على هضبة الجيزة في محافظة الجيزة على الضفة الغربية لنهر النيل. بنيت قبل حوالي 25 قرنا قبل الميلاد، ما بين 2480 و 2550 ق. م وهي تشمل ثلاثة أهرام هي خوفو، خفرع ومنقرع .
",الضفة,1,0
537,"ثلاث ساعات من روعة الصوت و الصورة 
العرض خيالي
المدخل المؤدي للمكان موحش و غير نظيف و يعج بسائقي التوكتوك
","الصوت والصورة، العرض، المدخل المؤدي للمكان ",1,"1,1,-1"
538,"
الاهرامات من الاماكن الجذابة و التي علي الانسان رؤيتها. فبها روعة و رهبة الفراعنة. تشعر فيها بعبق التاريخ و عظمة هذه الحضارة.
انصح كل زائر لمصر ان يمر بالاهرامات و يتذوق جمالها
","الاهرامات، الفراعنة، التاريخ، الحضارة، جمالها",1,"1,1,1,1,1"
539,"اهرامات الجيزه 
من اجمل الاماكن السياحيه فى العالم . فى اهرامات الجيزه بمصر تشعر بعبق التاريخ والحضاره .
مكان ساحر لن تجد مثله على مستوى العالم .اتمنى للك وقت ممتع وشيق فى الاهرامات العظيمه .
","اهرامات الجيزه، مكان، وقت، الاهرامات",1,"1,1,1,1"
540,"أهرام الجيزة 
كان الاهرامات من اجمل الزيارات التى شاهدتها بمصر وارجو من الجميع الحضور لمشاهده هذه العظمى وايضا يوجد بمصر الكثير من المعالم السياحيه التى ممكن ان تزورها فى اى وقت من السنه
",الاهرامات,1,1
541,"
أبو الهول هو تمثال لمخلوق أسطوري بجسم أسد ورأس إنسان يقع على هضبة الجيزة على الضفة الغربية من النيل في الجيزة، مصر,, ان أبو الهول بالجيزة أشهر تماثيل أبي الهول علي الإطلاق، وقد نحت من الحجر الكلسي ورأسه تمثل الفرعون خوفو (على أغلب الظنون أو ابنه خفرع) الذي عاش في القرن 26 ق.م.. طوله نحو 73 مترا من ضمنها 15 متر طول رجليه الأماميتين ، وارتفاعه 20 متر
",أبو الهول,1,1
543,"الاهرمات شاهده على التاريخ 
اقسم اننى عندما اذهب الى الاهرامات اشعر وكأن ارواح من قاموا على بنائها ومن امروا ببنائها تتجول فى المكان تراقب كل من زار هذا الاثر الشامخ اشعر اننى يجب ان اكون متحفظه فى تصرفاتى وكأننى فى حضرة ملوك هذا المكان فهذة الاهرمات بحق هى شاهده على التاريخ ارجو من كل من يذهب الى مصر ان يخصص يوم كامل لهذا الصرح التاريخى المتميز وان ينتعل حذاء رياضى والا يكون بمفرده حتى لا تدفعه الرهبه الى انهاء الزياره مبكراً  واتمنى للجميع الاستمتاع بهذة الزياره
","الاهرامات، الصرح التاريخى",1,"1,1"
544,"مكان ساحر 
تتسم اهرمات بمنظرها الجميل ومعنى الحضاره المصريه القديه وهذا المكان الرائع الذى يأتيه مره لابد من العوده اليه مره اخرى
","مكان، منظرها، المكان",1,"1,1,1"
545,"الهرم.... فيه حاجة تانية. 
واحد من اضخم مبني العالم... وأطول مبنى في الدنيا لحد 150 سنة فات.. ضخم ل درجة مش ممكن تصدقها, أنا لما وقفت قدامه مكنتش مصدق فعلا إزاي المبنى ده موجود كده.
",الهرم,1,1
547,"قريه جميله جدا 
من اجمل الرحلات اللتى قمت بها ففيها تتعرف على الكثير من تاريخ مصر القديمه واخذ الصور التذكاريه وركوب اليخت فى قلب النيل وشراء الهدايا التذكاريه بجد قريه جميله جدا
","قريه، قريه",1,"1,1"
